Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/joda/time/field/DecoratedDurationField,true,0,true,true
org/joda/time/field/PreciseDateTimeField,true,4,true,true
org/joda/time/field/MillisDurationField,true,15,false,false
org/joda/time/field/ScaledDurationField,true,2,true,true
org/joda/time/field/SkipDateTimeField,true,0,true,true
org/joda/time/field/DecoratedDateTimeField,true,4,true,true
org/joda/time/field/FieldUtils,true,190,true,true
org/joda/time/field/DividedDateTimeField,true,9,true,true
org/joda/time/field/UnsupportedDurationField,true,35,false,false
org/joda/time/field/PreciseDurationField,true,2,true,true
org/joda/time/field/DelegatedDurationField,true,25,false,NA
org/joda/time/field/AbstractPartialFieldProperty,true,25,true,true
org/joda/time/field/PreciseDurationDateTimeField,true,24,true,true
org/joda/time/field/BaseDateTimeField,true,52,true,true
org/joda/time/field/OffsetDateTimeField,true,16,true,true
org/joda/time/field/BaseDurationField,true,30,false,false
org/joda/time/field/DelegatedDateTimeField,true,14,true,true
org/joda/time/field/StrictDateTimeField,true,0,true,true
org/joda/time/field/RemainderDateTimeField,true,9,true,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,4,true,true
org/joda/time/field/SkipUndoDateTimeField,true,0,true,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,48,true,true
org/joda/time/field/ImpreciseDateTimeField,true,367,false,false
org/joda/time/field/UnsupportedDateTimeField,true,9,true,true
org/joda/time/field/LenientDateTimeField,true,0,true,true
org/joda/time/chrono/IslamicChronology,true,380,false,false
org/joda/time/chrono/GJCacheKey,true,22,true,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,3,true,true
org/joda/time/chrono/ZonedChronology,true,118,true,true
org/joda/time/chrono/LenientChronology,true,18,true,true
org/joda/time/chrono/EthiopicChronology,true,167,false,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,true,true
org/joda/time/chrono/BuddhistChronology,true,39,true,true
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,8,true,true
org/joda/time/chrono/GJEraDateTimeField,true,49,true,true
org/joda/time/chrono/StrictChronology,true,18,true,true
org/joda/time/chrono/GJLocaleSymbols,true,40,true,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,26,true,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,53,true,true
org/joda/time/chrono/BasicFixedMonthChronology,true,49,true,true
org/joda/time/chrono/BaseChronology,true,3,true,true
org/joda/time/chrono/GJChronology,true,2945,false,false
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,3,true,true
org/joda/time/chrono/BasicGJChronology,true,127,true,true
org/joda/time/chrono/BasicWeekyearDateTimeField,true,40,true,true
org/joda/time/chrono/ISOChronology,true,20,true,true
org/joda/time/chrono/GJYearOfEraDateTimeField,true,3,true,true
org/joda/time/chrono/BasicYearDateTimeField,true,4,true,true
org/joda/time/chrono/CopticChronology,true,167,false,false
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,5,true,true
org/joda/time/chrono/LimitChronology,true,1795,false,false
org/joda/time/chrono/AssembledChronology,true,10,true,true
org/joda/time/chrono/BasicChronology,true,295,true,true
org/joda/time/chrono/GregorianChronology,true,172,false,false
org/joda/time/chrono/JulianChronology,true,180,false,false
org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,41,true,true
org/joda/time/base/BasePartial,true,14,true,true
org/joda/time/base/BaseSingleFieldPeriod,true,75,false,false
org/joda/time/base/AbstractDuration,true,21,false,false
org/joda/time/base/AbstractInterval,true,11,true,true
org/joda/time/base/BasePeriod,true,76,true,true
org/joda/time/base/AbstractPartial,true,58,false,false
org/joda/time/base/AbstractInstant,true,20,false,false
org/joda/time/base/AbstractPeriod,true,8,true,false
org/joda/time/base/BaseDateTime,true,4,true,true
org/joda/time/base/BaseDuration,true,4,true,true
org/joda/time/base/AbstractDateTime,true,2,true,true
org/joda/time/base/BaseInterval,true,10,true,true
org/joda/time/base/BaseLocal,true,5,true,NA
org/joda/time/Minutes,true,47,true,false
org/joda/time/Partial,true,266,true,true
org/joda/time/tz/DefaultNameProvider,true,79,true,true
org/joda/time/tz/DateTimeZoneBuilder,true,461,true,true
org/joda/time/tz/ZoneInfoCompiler,true,679,false,false
org/joda/time/tz/FixedDateTimeZone,true,8,true,true
org/joda/time/tz/UTCProvider,true,4,true,true
org/joda/time/tz/ZoneInfoProvider,true,499,false,false
org/joda/time/tz/CachedDateTimeZone,true,35,true,true
org/joda/time/tz/Provider,true,0,true,NA
org/joda/time/tz/NameProvider,true,0,true,NA
org/joda/time/ReadWritableDateTime,true,0,true,NA
org/joda/time/Chronology,true,0,true,NA
org/joda/time/LocalTime,true,160,false,false
org/joda/time/format/DateTimeFormatterBuilder,true,6094,false,false
org/joda/time/format/FormatUtils,true,168,true,true
org/joda/time/format/InternalParser,true,0,true,NA
org/joda/time/format/DateTimeParserBucket,true,1195,false,false
org/joda/time/format/DateTimeFormat,true,224,true,true
org/joda/time/format/PeriodFormatter,true,12,true,true
org/joda/time/format/InternalPrinter,true,0,true,NA
org/joda/time/format/DateTimeFormatter,true,35,true,true
org/joda/time/format/ISOPeriodFormat,true,1,true,true
org/joda/time/format/InternalParserDateTimeParser,true,4,true,true
org/joda/time/format/ISODateTimeFormat,true,126,true,true
org/joda/time/format/PeriodFormatterBuilder,true,1114,false,false
org/joda/time/format/DateTimePrinterInternalPrinter,true,3,true,true
org/joda/time/format/DateTimePrinter,true,0,true,NA
org/joda/time/format/InternalPrinterDateTimePrinter,true,4,true,false
org/joda/time/format/DateTimeParserInternalParser,true,3,true,true
org/joda/time/format/PeriodFormat,true,18,true,true
org/joda/time/format/DateTimeParser,true,0,true,NA
org/joda/time/format/PeriodParser,true,0,true,NA
org/joda/time/format/PeriodPrinter,true,0,true,NA
org/joda/time/Instant,true,6,true,true
org/joda/time/DateTimeField,true,0,true,NA
org/joda/time/MutableInterval,true,9,true,true
org/joda/time/Duration,true,24,true,false
org/joda/time/IllegalInstantException,true,31,true,true
org/joda/time/LocalDateTime,true,143,false,false
org/joda/time/ReadWritablePeriod,true,0,true,NA
org/joda/time/DateMidnight,true,24,true,false
org/joda/time/DateTimeUtils,true,710,false,false
org/joda/time/ReadableDuration,true,0,false,NA
org/joda/time/Years,true,26,true,false
org/joda/time/Months,true,26,true,false
org/joda/time/MonthDay,true,87,true,false
org/joda/time/ReadWritableInterval,true,0,true,NA
org/joda/time/Period,true,163,true,false
org/joda/time/DurationField,true,6,false,false
org/joda/time/ReadablePartial,true,0,false,NA
org/joda/time/YearMonth,true,85,true,false
org/joda/time/convert/ReadableIntervalConverter,true,136,false,false
org/joda/time/convert/PeriodConverter,true,0,true,NA
org/joda/time/convert/ConverterSet,true,48,true,true
org/joda/time/convert/ConverterManager,true,106,true,true
org/joda/time/convert/ReadableDurationConverter,true,80,false,false
org/joda/time/convert/CalendarConverter,true,153,false,false
org/joda/time/convert/StringConverter,true,632,false,false
org/joda/time/convert/InstantConverter,true,0,true,NA
org/joda/time/convert/ReadablePeriodConverter,true,49,false,false
org/joda/time/convert/DurationConverter,true,0,true,NA
org/joda/time/convert/PartialConverter,true,0,true,NA
org/joda/time/convert/LongConverter,true,42,false,false
org/joda/time/convert/AbstractConverter,true,13,true,true
org/joda/time/convert/ReadableInstantConverter,true,108,false,false
org/joda/time/convert/NullConverter,true,1,true,true
org/joda/time/convert/DateConverter,true,37,false,false
org/joda/time/convert/IntervalConverter,true,0,true,NA
org/joda/time/convert/Converter,true,0,true,NA
org/joda/time/convert/ReadablePartialConverter,true,114,true,true
org/joda/time/YearMonthDay,true,93,true,true
org/joda/time/ReadableInstant,true,0,false,NA
org/joda/time/DateTimeFieldType,true,307,true,true
org/joda/time/DateTimeZone,true,2131,false,false
org/joda/time/LocalDate,true,177,false,false
org/joda/time/ReadWritableInstant,true,0,true,NA
org/joda/time/IllegalFieldValueException,true,16,true,true
org/joda/time/Interval,true,10,true,true
org/joda/time/ReadablePeriod,true,0,true,NA
org/joda/time/DateTime,true,61,true,false
org/joda/time/DateTimeConstants,true,60,true,NA
org/joda/time/PeriodType,true,82,true,true
org/joda/time/Seconds,true,49,true,false
org/joda/time/TimeOfDay,true,122,true,true
org/joda/time/Days,true,40,true,false
org/joda/time/DateTimeComparator,true,39,true,true
org/joda/time/DurationFieldType,true,142,true,true
org/joda/time/Weeks,true,39,true,false
org/joda/time/UTCDateTimeZone,true,15,true,true
org/joda/time/ReadableDateTime,true,0,true,NA
org/joda/time/ReadableInterval,true,0,true,NA
org/joda/time/MutableDateTime,true,171,true,false
org/joda/time/JodaTimePermission,true,0,true,NA
org/joda/time/Hours,true,46,true,false
org/joda/time/MutablePeriod,true,10,true,false
