Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/junit/validator/ValidateWith,true,0,true,true
org/junit/validator/TestClassValidator,true,2,true,true
org/junit/validator/AnnotationValidatorFactory,true,12,true,true
org/junit/validator/AnnotationsValidator,true,69,true,true
org/junit/validator/AnnotationValidator,true,13,true,true
org/junit/validator/PublicClassValidator,true,11,true,true
org/junit/runners/Parameterized,true,283,false,false
org/junit/runners/BlockJUnit4ClassRunner,true,366,true,true
org/junit/runners/package-info,true,0,true,true
org/junit/runners/RuleContainer,true,172,true,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,240,true,true
org/junit/runners/parameterized/ParametersRunnerFactory,true,3,true,true
org/junit/runners/parameterized/TestWithParameters,true,55,true,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,3,true,true
org/junit/runners/ParentRunner,true,543,false,false
org/junit/runners/Suite,true,43,true,true
org/junit/runners/JUnit4,true,1,true,true
org/junit/runners/AllTests,true,1,true,true
org/junit/runners/model/FrameworkMember,true,29,true,true
org/junit/runners/model/NoGenericTypeParametersValidator,true,54,true,true
org/junit/runners/model/Annotatable,true,1,true,true
org/junit/runners/model/TestTimedOutException,true,8,true,true
org/junit/runners/model/InitializationError,true,6,true,true
org/junit/runners/model/FrameworkMethod,true,120,true,true
org/junit/runners/model/FrameworkField,true,45,true,true
org/junit/runners/model/InvalidTestClassError,true,9,true,true
org/junit/runners/model/Statement,true,0,true,true
org/junit/runners/model/MultipleFailureException,true,36,false,false
org/junit/runners/model/MemberValueConsumer,true,2,true,true
org/junit/runners/model/TestClass,true,214,false,false
org/junit/runners/model/RunnerScheduler,true,1,true,true
org/junit/runners/model/RunnerBuilder,true,62,true,true
org/junit/runners/MethodSorters,true,4,true,true
org/junit/AssumptionViolatedException,true,12,true,true
org/junit/rules/TemporaryFolder,true,158,true,true
org/junit/rules/TestName,true,8,true,true
org/junit/rules/Stopwatch,true,94,true,true
org/junit/rules/MethodRule,true,6,true,true
org/junit/rules/ExpectedException,true,147,false,false
org/junit/rules/DisableOnDebug,true,29,true,true
org/junit/rules/ErrorCollector,true,47,false,false
org/junit/rules/RunRules,true,18,true,true
org/junit/rules/TestWatchman,true,30,true,true
org/junit/rules/TestWatcher,true,88,true,true
org/junit/rules/ExpectedExceptionMatcherBuilder,true,45,false,false
org/junit/rules/RuleChain,true,22,false,false
org/junit/rules/ExternalResource,true,30,false,false
org/junit/rules/TestRule,true,5,true,true
org/junit/rules/Verifier,true,7,true,true
org/junit/rules/Timeout,true,96,false,false
org/junit/Rule,true,4,true,true
org/junit/runner/Result,true,199,false,false
org/junit/runner/Describable,true,0,true,true
org/junit/runner/package-info,true,0,true,true
org/junit/runner/FilterFactories,true,23,true,true
org/junit/runner/Request,true,28,false,false
org/junit/runner/Computer,true,10,true,true
org/junit/runner/JUnitCore,true,81,true,true
org/junit/runner/Description,true,212,true,true
org/junit/runner/FilterFactoryParams,true,8,true,true
org/junit/runner/RunWith,true,4,true,true
org/junit/runner/JUnitCommandLineParseResult,true,133,true,true
org/junit/runner/notification/Failure,true,34,true,true
org/junit/runner/notification/package-info,true,0,true,true
org/junit/runner/notification/StoppedByUserException,true,0,true,true
org/junit/runner/notification/SynchronizedRunListener,true,91,false,false
org/junit/runner/notification/RunListener,true,22,true,true
org/junit/runner/notification/RunNotifier,true,236,false,false
org/junit/runner/Runner,true,5,true,true
org/junit/runner/OrderWith,true,4,true,true
org/junit/runner/manipulation/Orderer,true,15,true,true
org/junit/runner/manipulation/Filterable,true,1,true,true
org/junit/runner/manipulation/Ordering,true,33,true,true
org/junit/runner/manipulation/Orderable,true,1,true,true
org/junit/runner/manipulation/package-info,true,0,true,true
org/junit/runner/manipulation/Filter,true,76,true,true
org/junit/runner/manipulation/Alphanumeric,true,19,false,false
org/junit/runner/manipulation/Sortable,true,1,true,true
org/junit/runner/manipulation/NoTestsRemainException,true,0,true,true
org/junit/runner/manipulation/InvalidOrderingException,true,3,true,true
org/junit/runner/manipulation/Sorter,true,46,true,true
org/junit/runner/FilterFactory,true,7,true,true
org/junit/package-info,true,0,true,true
org/junit/Assert,true,391,true,true
org/junit/internal/runners/SuiteMethod,true,8,true,true
org/junit/internal/runners/rules/ValidationError,true,4,true,true
org/junit/internal/runners/rules/RuleMemberValidator,true,150,true,true
org/junit/internal/runners/statements/ExpectException,true,21,true,true
org/junit/internal/runners/statements/RunBefores,true,23,true,true
org/junit/internal/runners/statements/Fail,true,7,true,true
org/junit/internal/runners/statements/InvokeMethod,true,12,true,true
org/junit/internal/runners/statements/FailOnTimeout,true,192,false,false
org/junit/internal/runners/statements/RunAfters,true,24,true,true
org/junit/internal/runners/JUnit4ClassRunner,true,172,true,true
org/junit/internal/runners/FailedBefore,true,0,true,true
org/junit/internal/runners/package-info,true,0,true,true
org/junit/internal/runners/MethodValidator,true,86,true,true
org/junit/internal/runners/ErrorReportingRunner,true,67,true,false
org/junit/internal/runners/InitializationError,true,8,true,true
org/junit/internal/runners/JUnit38ClassRunner,true,388,true,true
org/junit/internal/runners/ClassRoadie,true,53,true,true
org/junit/internal/runners/TestMethod,true,39,true,true
org/junit/internal/runners/MethodRoadie,true,158,true,true
org/junit/internal/runners/TestClass,true,65,true,true
org/junit/internal/runners/model/EachTestNotifier,true,66,true,false
org/junit/internal/runners/model/MultipleFailureException,true,1,true,true
org/junit/internal/runners/model/ReflectiveCallable,true,3,true,true
org/junit/internal/InexactComparisonCriteria,true,16,false,false
org/junit/internal/AssumptionViolatedException,true,48,true,true
org/junit/internal/RealSystem,true,1,true,true
org/junit/internal/builders/JUnit4Builder,true,2,true,true
org/junit/internal/builders/IgnoredClassRunner,true,13,true,true
org/junit/internal/builders/NullBuilder,true,2,true,true
org/junit/internal/builders/IgnoredBuilder,true,2,true,true
org/junit/internal/builders/AllDefaultPossibilitiesBuilder,true,30,true,true
org/junit/internal/builders/AnnotatedBuilder,true,26,true,true
org/junit/internal/builders/SuiteMethodBuilder,true,8,true,true
org/junit/internal/builders/JUnit3Builder,true,6,true,true
org/junit/internal/requests/OrderingRequest,true,19,true,true
org/junit/internal/requests/package-info,true,0,true,true
org/junit/internal/requests/MemoizingRequest,true,32,true,true
org/junit/internal/requests/ClassRequest,true,16,true,true
org/junit/internal/requests/SortingRequest,true,13,true,true
org/junit/internal/requests/FilterRequest,true,25,true,true
org/junit/internal/Checks,true,3,true,true
org/junit/internal/JUnitSystem,true,1,true,true
org/junit/internal/matchers/ThrowableCauseMatcher,true,22,false,false
org/junit/internal/matchers/TypeSafeMatcher,true,21,false,false
org/junit/internal/matchers/ThrowableMessageMatcher,true,22,false,false
org/junit/internal/matchers/StacktracePrintingMatcher,true,36,false,false
org/junit/internal/ComparisonCriteria,true,111,true,true
org/junit/internal/Classes,true,4,true,true
org/junit/internal/management/ManagementFactory,true,32,true,true
org/junit/internal/management/ThreadMXBean,true,1,true,true
org/junit/internal/management/ReflectiveThreadMXBean,true,23,false,false
org/junit/internal/management/RuntimeMXBean,true,0,true,true
org/junit/internal/management/FakeThreadMXBean,true,1,true,true
org/junit/internal/management/ReflectiveRuntimeMXBean,true,13,true,true
org/junit/internal/management/FakeRuntimeMXBean,true,0,true,true
org/junit/internal/ArrayComparisonFailure,true,44,true,true
org/junit/internal/TextListener,true,92,true,true
org/junit/internal/MethodSorter,true,35,true,true
org/junit/internal/Throwables,true,147,false,false
org/junit/internal/ExactComparisonCriteria,true,2,true,true
org/junit/matchers/JUnitMatchers,true,28,false,false
org/junit/matchers/package-info,true,0,true,true
org/junit/After,true,4,true,true
org/junit/Assume,true,17,false,false
org/junit/Ignore,true,0,true,true
org/junit/ComparisonFailure,true,214,true,true
org/junit/BeforeClass,true,4,true,true
org/junit/experimental/runners/Enclosed,true,3,true,true
org/junit/experimental/ParallelComputer,true,33,true,true
org/junit/experimental/results/ResultMatchers,true,21,true,true
org/junit/experimental/results/PrintableResult,true,17,true,true
org/junit/experimental/results/FailureList,true,11,true,true
org/junit/experimental/theories/Theory,true,4,true,true
org/junit/experimental/theories/ParameterSupplier,true,1,true,true
org/junit/experimental/theories/ParameterSignature,true,99,true,true
org/junit/experimental/theories/PotentialAssignment,true,2,true,true
org/junit/experimental/theories/ParametersSuppliedBy,true,0,true,true
org/junit/experimental/theories/internal/Assignments,true,137,true,true
org/junit/experimental/theories/internal/BooleanSupplier,true,2,true,true
org/junit/experimental/theories/internal/AllMembersSupplier,true,219,true,true
org/junit/experimental/theories/internal/ParameterizedAssertionError,true,20,true,true
org/junit/experimental/theories/internal/EnumSupplier,true,9,true,true
org/junit/experimental/theories/internal/SpecificDataPointsSupplier,true,44,true,true
org/junit/experimental/theories/DataPoint,true,0,true,true
