Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/joda/time/field/DecoratedDurationField,true,32,true,true
org/joda/time/field/PreciseDateTimeField,true,103,true,true
org/joda/time/field/MillisDurationField,true,47,false,false
org/joda/time/field/ScaledDurationField,true,209,true,true
org/joda/time/field/SkipDateTimeField,true,83,true,false
org/joda/time/field/DecoratedDateTimeField,true,39,true,true
org/joda/time/field/FieldUtils,true,296,true,true
org/joda/time/field/DividedDateTimeField,true,232,true,false
org/joda/time/field/UnsupportedDurationField,true,154,false,false
org/joda/time/field/PreciseDurationField,true,143,true,true
org/joda/time/field/DelegatedDurationField,true,171,false,NA
org/joda/time/field/AbstractPartialFieldProperty,true,232,true,true
org/joda/time/field/PreciseDurationDateTimeField,true,117,true,true
org/joda/time/field/BaseDateTimeField,true,706,false,false
org/joda/time/field/OffsetDateTimeField,true,172,true,false
org/joda/time/field/BaseDurationField,true,68,false,false
org/joda/time/field/DelegatedDateTimeField,true,311,true,true
org/joda/time/field/StrictDateTimeField,true,24,true,true
org/joda/time/field/RemainderDateTimeField,true,164,true,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,103,true,true
org/joda/time/field/SkipUndoDateTimeField,true,80,true,false
org/joda/time/field/AbstractReadableInstantFieldProperty,true,278,true,true
org/joda/time/field/ImpreciseDateTimeField,true,240,false,false
org/joda/time/field/UnsupportedDateTimeField,true,295,true,true
org/joda/time/field/LenientDateTimeField,true,45,true,true
org/joda/time/chrono/IslamicChronology,true,762,false,false
org/joda/time/chrono/GJCacheKey,true,101,true,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,135,true,false
org/joda/time/chrono/ZonedChronology,true,1824,false,false
org/joda/time/chrono/LenientChronology,true,214,false,false
org/joda/time/chrono/EthiopicChronology,true,331,false,false
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,3,true,true
org/joda/time/chrono/BuddhistChronology,true,150,false,false
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,22,true,true
org/joda/time/chrono/GJEraDateTimeField,true,128,true,true
org/joda/time/chrono/StrictChronology,true,97,false,false
