Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/scribe/exceptions/OAuthConnectionException,true,0,true,NA
org/scribe/exceptions/OAuthException,true,1,true,true
org/scribe/exceptions/OAuthSignatureException,true,0,true,true
org/scribe/exceptions/OAuthParametersMissingException,true,5,true,true
org/scribe/utils/MapUtils,true,0,true,true
org/scribe/utils/Preconditions,true,8,false,false
org/scribe/utils/StreamUtils,true,7,true,true
org/scribe/utils/OAuthEncoder,true,2,true,true
org/scribe/oauth/OAuth20ServiceImpl,true,57,true,NA
org/scribe/oauth/OAuthService,true,7,true,NA
org/scribe/oauth/OAuth10aServiceImpl,true,231,true,NA
org/scribe/services/TimestampService,true,0,true,NA
org/scribe/services/Base64Encoder,true,2,true,true
org/scribe/services/DatatypeConverterEncoder,true,2,true,NA
org/scribe/services/HMACSha1SignatureService,true,6,true,true
org/scribe/services/RSASha1SignatureService,true,6,true,true
org/scribe/services/PlaintextSignatureService,true,0,true,NA
org/scribe/services/SignatureService,true,0,true,NA
org/scribe/services/TimestampServiceImpl,true,29,true,true
org/scribe/services/CommonsEncoder,true,2,true,true
org/scribe/builder/ServiceBuilder,true,68,true,true
org/scribe/builder/api/MendeleyApi,true,10,true,NA
org/scribe/builder/api/GetGlueApi,true,3,true,NA
org/scribe/builder/api/QWeiboApi,true,4,true,NA
org/scribe/builder/api/DiggApi,true,14,true,NA
org/scribe/builder/api/NeteaseWeibooApi,true,5,true,NA
org/scribe/builder/api/SimpleGeoApi,true,3,true,NA
org/scribe/builder/api/LiveApi,true,12,true,NA
org/scribe/builder/api/DropBoxApi,true,4,true,NA
org/scribe/builder/api/SinaWeiboApi20,true,14,true,NA
org/scribe/builder/api/EvernoteApi,true,14,true,NA
org/scribe/builder/api/KaixinApi20,true,12,true,NA
org/scribe/builder/api/TrelloApi,true,4,true,NA
org/scribe/builder/api/ConstantContactApi,true,4,true,NA
org/scribe/builder/api/MisoApi,true,3,true,NA
org/scribe/builder/api/FacebookApi,true,10,true,NA
org/scribe/builder/api/Foursquare2Api,true,5,true,NA
org/scribe/builder/api/TumblrApi,true,3,true,NA
org/scribe/builder/api/SinaWeiboApi,true,4,true,NA
org/scribe/builder/api/LoveFilmApi,true,3,true,NA
org/scribe/builder/api/VimeoApi,true,3,true,NA
org/scribe/builder/api/ConstantContactApi2,true,10,true,NA
org/scribe/builder/api/Px500Api,true,4,true,NA
org/scribe/builder/api/TwitterApi,true,16,true,NA
org/scribe/builder/api/PlurkApi,true,4,true,NA
org/scribe/builder/api/NetProspexApi,true,3,true,NA
org/scribe/builder/api/ViadeoApi,true,10,true,NA
org/scribe/builder/api/SohuWeiboApi,true,4,true,NA
org/scribe/builder/api/RenrenApi,true,12,true,NA
org/scribe/builder/api/SapoApi,true,10,true,NA
org/scribe/builder/api/UbuntuOneApi,true,5,true,NA
org/scribe/builder/api/YahooApi,true,3,true,NA
org/scribe/builder/api/AWeberApi,true,3,true,NA
org/scribe/builder/api/KaixinApi,true,10,true,NA
org/scribe/builder/api/DefaultApi10a,true,11,true,NA
org/scribe/builder/api/FreelancerApi,true,18,true,NA
org/scribe/builder/api/FlickrApi,true,4,true,NA
org/scribe/builder/api/ImgUrApi,true,4,true,NA
org/scribe/builder/api/FoursquareApi,true,3,true,NA
org/scribe/builder/api/LinkedInApi,true,18,true,NA
org/scribe/builder/api/GoogleApi,true,8,true,NA
org/scribe/builder/api/YammerApi,true,6,true,NA
org/scribe/builder/api/VkontakteApi,true,10,true,NA
org/scribe/builder/api/Api,true,2,true,NA
org/scribe/builder/api/XingApi,true,4,true,NA
org/scribe/builder/api/SkyrockApi,true,22,true,NA
org/scribe/builder/api/DefaultApi20,true,5,true,NA
org/scribe/builder/api/MeetupApi,true,3,true,NA
org/scribe/extractors/TokenExtractor20Impl,true,3,true,true
org/scribe/extractors/JsonTokenExtractor,true,6,true,true
org/scribe/extractors/BaseStringExtractorImpl,true,10,true,true
org/scribe/extractors/AccessTokenExtractor,true,1,true,NA
org/scribe/extractors/TokenExtractorImpl,true,9,true,true
org/scribe/extractors/HeaderExtractor,true,1,true,NA
org/scribe/extractors/HeaderExtractorImpl,true,10,true,false
org/scribe/extractors/RequestTokenExtractor,true,1,true,NA
org/scribe/extractors/BaseStringExtractor,true,1,true,NA
org/scribe/model/Token,true,38,true,true
org/scribe/model/RequestTuner,true,0,true,NA
org/scribe/model/Response,true,64,true,true
org/scribe/model/Verb,true,0,true,true
org/scribe/model/Request,true,198,true,true
org/scribe/model/OAuthRequest,true,42,true,true
org/scribe/model/ParameterList,true,68,true,true
org/scribe/model/Verifier,true,3,true,NA
org/scribe/model/Parameter,true,27,true,true
org/scribe/model/SignatureType,true,0,true,true
org/scribe/model/OAuthConfig,true,26,true,true
org/scribe/model/OAuthConstants,true,3,true,NA
