Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/StringDecoder,true,0,true,NA
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/Decoder,true,0,true,NA
org/apache/commons/codec/StringEncoder,true,0,true,NA
org/apache/commons/codec/net/QCodec,true,235,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,247,true,true
org/apache/commons/codec/net/RFC1522Codec,true,175,true,true
org/apache/commons/codec/net/BCodec,true,101,true,true
org/apache/commons/codec/net/Utils,true,13,true,true
org/apache/commons/codec/net/URLCodec,true,233,true,true
org/apache/commons/codec/CharEncoding,true,0,true,NA
org/apache/commons/codec/StringEncoderComparator,true,15,true,true
org/apache/commons/codec/language/Caverphone1,true,88,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,34,true,true
org/apache/commons/codec/language/bm/Rule,true,1225,false,false
org/apache/commons/codec/language/bm/NameType,true,1,true,true
org/apache/commons/codec/language/bm/RuleType,true,1,true,true
org/apache/commons/codec/language/bm/Languages,true,485,false,false
org/apache/commons/codec/language/bm/Lang,true,238,false,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,756,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,NA
org/apache/commons/codec/language/Nysiis,true,162,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,10,true,true
org/apache/commons/codec/language/ColognePhonetic,true,475,false,false
org/apache/commons/codec/language/DoubleMetaphone,true,4314,false,false
org/apache/commons/codec/language/Caverphone2,true,91,true,true
org/apache/commons/codec/language/Caverphone,true,13,true,NA
org/apache/commons/codec/language/SoundexUtils,true,37,true,true
org/apache/commons/codec/language/Soundex,true,92,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,533,true,true
org/apache/commons/codec/language/RefinedSoundex,true,77,true,true
org/apache/commons/codec/language/Metaphone,true,410,true,true
org/apache/commons/codec/Encoder,true,0,true,NA
org/apache/commons/codec/BinaryDecoder,true,0,true,NA
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/BinaryEncoder,true,0,true,NA
org/apache/commons/codec/Charsets,true,28,true,true
org/apache/commons/codec/digest/B64,true,25,true,true
org/apache/commons/codec/digest/HmacUtils,true,162,true,true
org/apache/commons/codec/digest/Md5Crypt,true,86,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,5,true,true
org/apache/commons/codec/digest/Crypt,true,52,true,true
org/apache/commons/codec/digest/DigestUtils,true,189,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,4,true,NA
org/apache/commons/codec/digest/UnixCrypt,true,225,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,185,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,15,true,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,122,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,349,true,true
org/apache/commons/codec/binary/Hex,true,78,true,true
org/apache/commons/codec/binary/BinaryCodec,true,119,true,true
org/apache/commons/codec/binary/BaseNCodec,true,411,false,false
org/apache/commons/codec/binary/Base32,true,565,true,true
org/apache/commons/codec/binary/StringUtils,true,84,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,190,true,true
