Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/scribe/exceptions/OAuthConnectionException,true,4,true,NA
org/scribe/exceptions/OAuthException,true,4,true,true
org/scribe/exceptions/OAuthSignatureException,true,5,true,true
org/scribe/exceptions/OAuthParametersMissingException,true,8,true,true
org/scribe/utils/MapUtils,true,3,true,true
org/scribe/utils/Preconditions,true,24,true,true
org/scribe/utils/StreamUtils,true,3,true,true
org/scribe/utils/OAuthEncoder,true,14,true,true
org/scribe/oauth/OAuth20ServiceImpl,true,57,true,NA
org/scribe/oauth/OAuthService,true,5,true,NA
org/scribe/oauth/OAuth10aServiceImpl,true,240,true,NA
org/scribe/services/TimestampService,true,0,true,NA
org/scribe/services/Base64Encoder,true,3,true,true
org/scribe/services/DatatypeConverterEncoder,true,1,true,NA
org/scribe/services/HMACSha1SignatureService,true,36,true,true
org/scribe/services/RSASha1SignatureService,true,21,true,true
org/scribe/services/PlaintextSignatureService,true,6,true,NA
org/scribe/services/SignatureService,true,3,true,NA
org/scribe/services/TimestampServiceImpl,true,28,true,true
org/scribe/services/CommonsEncoder,true,1,true,true
org/scribe/builder/ServiceBuilder,true,45,true,true
org/scribe/builder/api/MendeleyApi,true,4,true,NA
org/scribe/builder/api/GetGlueApi,true,11,true,NA
org/scribe/builder/api/QWeiboApi,true,10,true,NA
org/scribe/builder/api/DiggApi,true,14,true,NA
org/scribe/builder/api/NeteaseWeibooApi,true,14,true,NA
org/scribe/builder/api/SimpleGeoApi,true,11,true,NA
org/scribe/builder/api/LiveApi,true,14,true,NA
org/scribe/builder/api/DropBoxApi,true,1,true,NA
org/scribe/builder/api/SinaWeiboApi20,true,14,true,NA
org/scribe/builder/api/EvernoteApi,true,11,true,NA
org/scribe/builder/api/KaixinApi20,true,14,true,NA
org/scribe/builder/api/TrelloApi,true,4,true,NA
org/scribe/builder/api/ConstantContactApi,true,4,true,NA
org/scribe/builder/api/MisoApi,true,11,true,NA
org/scribe/builder/api/FacebookApi,true,14,true,NA
org/scribe/builder/api/Foursquare2Api,true,4,true,NA
org/scribe/builder/api/TumblrApi,true,11,true,NA
org/scribe/builder/api/SinaWeiboApi,true,10,true,NA
org/scribe/builder/api/LoveFilmApi,true,11,true,NA
org/scribe/builder/api/VimeoApi,true,5,true,NA
org/scribe/builder/api/ConstantContactApi2,true,10,true,NA
org/scribe/builder/api/Px500Api,true,4,true,NA
org/scribe/builder/api/TwitterApi,true,20,true,NA
org/scribe/builder/api/PlurkApi,true,16,true,NA
org/scribe/builder/api/NetProspexApi,true,11,true,NA
org/scribe/builder/api/ViadeoApi,true,16,true,NA
org/scribe/builder/api/SohuWeiboApi,true,10,true,NA
org/scribe/builder/api/RenrenApi,true,14,true,NA
org/scribe/builder/api/SapoApi,true,10,true,NA
org/scribe/builder/api/UbuntuOneApi,true,5,true,NA
org/scribe/builder/api/YahooApi,true,5,true,NA
org/scribe/builder/api/AWeberApi,true,11,true,NA
org/scribe/builder/api/KaixinApi,true,10,true,NA
org/scribe/builder/api/DefaultApi10a,true,2,true,NA
org/scribe/builder/api/FreelancerApi,true,10,true,NA
org/scribe/builder/api/FlickrApi,true,1,true,NA
org/scribe/builder/api/ImgUrApi,true,1,true,NA
org/scribe/builder/api/FoursquareApi,true,5,true,NA
org/scribe/builder/api/LinkedInApi,true,28,true,NA
org/scribe/builder/api/GoogleApi,true,4,true,NA
org/scribe/builder/api/YammerApi,true,4,true,NA
org/scribe/builder/api/VkontakteApi,true,23,true,NA
org/scribe/builder/api/Api,true,1,true,NA
org/scribe/builder/api/XingApi,true,4,true,NA
org/scribe/builder/api/SkyrockApi,true,19,true,NA
org/scribe/builder/api/DefaultApi20,true,2,true,NA
org/scribe/builder/api/MeetupApi,true,5,true,NA
org/scribe/extractors/TokenExtractor20Impl,true,11,true,true
org/scribe/extractors/JsonTokenExtractor,true,15,true,true
org/scribe/extractors/BaseStringExtractorImpl,true,16,true,true
org/scribe/extractors/AccessTokenExtractor,true,1,true,NA
org/scribe/extractors/TokenExtractorImpl,true,25,true,true
org/scribe/extractors/HeaderExtractor,true,1,true,NA
org/scribe/extractors/HeaderExtractorImpl,true,25,true,false
org/scribe/extractors/RequestTokenExtractor,true,1,true,NA
org/scribe/extractors/BaseStringExtractor,true,1,true,NA
org/scribe/model/Token,true,44,true,true
org/scribe/model/RequestTuner,true,1,true,NA
org/scribe/model/Response,true,74,true,true
org/scribe/model/Verb,true,0,true,true
org/scribe/model/Request,true,328,true,true
org/scribe/model/OAuthRequest,true,48,true,true
org/scribe/model/ParameterList,true,91,true,true
org/scribe/model/Verifier,true,4,true,NA
org/scribe/model/Parameter,true,36,true,true
org/scribe/model/SignatureType,true,0,true,true
org/scribe/model/OAuthConfig,true,45,true,true
org/scribe/model/OAuthConstants,true,10,true,NA
