Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/StringDecoder,true,1,true,NA
org/apache/commons/codec/DecoderException,true,1,true,true
org/apache/commons/codec/Decoder,true,1,true,NA
org/apache/commons/codec/StringEncoder,true,1,true,NA
org/apache/commons/codec/net/QCodec,true,112,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,105,true,true
org/apache/commons/codec/net/RFC1522Codec,true,37,true,true
org/apache/commons/codec/net/BCodec,true,36,true,true
org/apache/commons/codec/net/Utils,true,9,true,true
org/apache/commons/codec/net/URLCodec,true,135,true,true
org/apache/commons/codec/CharEncoding,true,0,true,NA
org/apache/commons/codec/StringEncoderComparator,true,5,true,true
org/apache/commons/codec/language/Caverphone1,true,15,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,11,true,true
org/apache/commons/codec/language/bm/Rule,true,251,true,true
org/apache/commons/codec/language/bm/NameType,true,0,true,true
org/apache/commons/codec/language/bm/RuleType,true,0,true,true
org/apache/commons/codec/language/bm/Languages,true,112,true,true
org/apache/commons/codec/language/bm/Lang,true,74,true,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,108,true,true
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,NA
org/apache/commons/codec/language/Nysiis,true,138,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,4,true,true
org/apache/commons/codec/language/ColognePhonetic,true,209,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,640,true,true
org/apache/commons/codec/language/Caverphone2,true,15,true,true
org/apache/commons/codec/language/Caverphone,true,7,true,NA
org/apache/commons/codec/language/SoundexUtils,true,0,true,true
org/apache/commons/codec/language/Soundex,true,69,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,298,true,true
org/apache/commons/codec/language/RefinedSoundex,true,44,true,true
org/apache/commons/codec/language/Metaphone,true,283,true,true
org/apache/commons/codec/Encoder,true,1,true,NA
org/apache/commons/codec/BinaryDecoder,true,1,true,NA
org/apache/commons/codec/EncoderException,true,1,true,true
org/apache/commons/codec/BinaryEncoder,true,1,true,NA
org/apache/commons/codec/Charsets,true,75,true,true
org/apache/commons/codec/digest/B64,true,9,true,true
org/apache/commons/codec/digest/HmacUtils,true,29,true,true
org/apache/commons/codec/digest/Md5Crypt,true,47,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,3,true,true
org/apache/commons/codec/digest/Crypt,true,30,true,true
org/apache/commons/codec/digest/DigestUtils,true,43,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,true,NA
org/apache/commons/codec/digest/UnixCrypt,true,249,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,87,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,2,true,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,118,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,0,true,true
org/apache/commons/codec/binary/Base64,true,320,true,true
org/apache/commons/codec/binary/Hex,true,48,false,false
org/apache/commons/codec/binary/BinaryCodec,true,68,true,true
org/apache/commons/codec/binary/BaseNCodec,true,231,true,true
org/apache/commons/codec/binary/Base32,true,597,true,true
org/apache/commons/codec/binary/StringUtils,true,2,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,0,true,true
org/apache/commons/codec/binary/Base64InputStream,true,0,true,true
org/apache/commons/codec/binary/Base32InputStream,true,0,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,163,true,true
