Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/StringDecoder,true,0,true,NA
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/Decoder,true,0,true,NA
org/apache/commons/codec/StringEncoder,true,0,true,NA
org/apache/commons/codec/net/QCodec,true,191,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,172,true,true
org/apache/commons/codec/net/RFC1522Codec,true,61,true,true
org/apache/commons/codec/net/BCodec,true,135,true,true
org/apache/commons/codec/net/Utils,true,19,true,true
org/apache/commons/codec/net/URLCodec,true,186,true,true
org/apache/commons/codec/CharEncoding,true,0,true,NA
org/apache/commons/codec/StringEncoderComparator,true,21,true,true
org/apache/commons/codec/language/Caverphone1,true,19,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,75,true,true
org/apache/commons/codec/language/bm/Rule,true,1940,false,false
org/apache/commons/codec/language/bm/NameType,true,49,false,false
org/apache/commons/codec/language/bm/RuleType,true,49,false,false
org/apache/commons/codec/language/bm/Languages,true,602,false,false
org/apache/commons/codec/language/bm/Lang,true,429,false,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,1174,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,NA
org/apache/commons/codec/language/Nysiis,true,72,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,8,true,true
org/apache/commons/codec/language/ColognePhonetic,true,866,true,false
org/apache/commons/codec/language/DoubleMetaphone,true,3572,true,false
org/apache/commons/codec/language/Caverphone2,true,19,true,true
org/apache/commons/codec/language/Caverphone,true,29,true,NA
org/apache/commons/codec/language/SoundexUtils,true,9,true,true
org/apache/commons/codec/language/Soundex,true,80,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,324,true,true
org/apache/commons/codec/language/RefinedSoundex,true,44,true,true
org/apache/commons/codec/language/Metaphone,true,202,true,true
org/apache/commons/codec/Encoder,true,0,true,NA
org/apache/commons/codec/BinaryDecoder,true,0,true,NA
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/BinaryEncoder,true,0,true,NA
org/apache/commons/codec/Charsets,true,34,true,true
org/apache/commons/codec/digest/B64,true,16,true,true
org/apache/commons/codec/digest/HmacUtils,true,187,true,true
org/apache/commons/codec/digest/Md5Crypt,true,127,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,63,false,false
org/apache/commons/codec/digest/Crypt,true,36,true,true
org/apache/commons/codec/digest/DigestUtils,true,197,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,true,NA
org/apache/commons/codec/digest/UnixCrypt,true,176,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,121,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,9,true,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,48,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,301,true,true
org/apache/commons/codec/binary/Hex,true,126,true,true
org/apache/commons/codec/binary/BinaryCodec,true,76,true,true
org/apache/commons/codec/binary/BaseNCodec,true,153,true,true
org/apache/commons/codec/binary/Base32,true,448,true,true
org/apache/commons/codec/binary/StringUtils,true,68,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,114,true,true
