Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/scribe/exceptions/OAuthConnectionException,true,3,true,NA
org/scribe/exceptions/OAuthException,true,1,true,true
org/scribe/exceptions/OAuthSignatureException,false,NA,false,false
org/scribe/exceptions/OAuthParametersMissingException,false,NA,false,false
org/scribe/utils/MapUtils,true,111,false,false
org/scribe/utils/Preconditions,true,58,true,true
org/scribe/utils/StreamUtils,true,39,true,true
org/scribe/utils/OAuthEncoder,true,162,false,false
org/scribe/oauth/OAuth20ServiceImpl,true,157,true,NA
org/scribe/oauth/OAuthService,true,8,true,NA
org/scribe/oauth/OAuth10aServiceImpl,true,1134,false,NA
org/scribe/services/TimestampService,true,1,true,NA
org/scribe/services/Base64Encoder,true,4,true,true
org/scribe/services/DatatypeConverterEncoder,true,2,true,NA
org/scribe/services/HMACSha1SignatureService,true,104,false,false
org/scribe/services/RSASha1SignatureService,true,30,true,true
org/scribe/services/PlaintextSignatureService,true,55,true,NA
org/scribe/services/SignatureService,true,1,true,NA
org/scribe/services/TimestampServiceImpl,true,44,false,false
org/scribe/services/CommonsEncoder,true,12,true,true
org/scribe/builder/ServiceBuilder,true,49,false,false
org/scribe/builder/api/MendeleyApi,true,14,true,NA
org/scribe/builder/api/GetGlueApi,true,9,true,NA
org/scribe/builder/api/QWeiboApi,true,10,true,NA
org/scribe/builder/api/DiggApi,true,20,true,NA
org/scribe/builder/api/NeteaseWeibooApi,true,17,true,NA
org/scribe/builder/api/SimpleGeoApi,true,3,true,NA
org/scribe/builder/api/LiveApi,true,97,true,NA
org/scribe/builder/api/DropBoxApi,true,26,true,NA
org/scribe/builder/api/SinaWeiboApi20,true,99,true,NA
org/scribe/builder/api/EvernoteApi,true,119,true,NA
org/scribe/builder/api/KaixinApi20,true,97,true,NA
org/scribe/builder/api/TrelloApi,true,10,true,NA
org/scribe/builder/api/ConstantContactApi,true,10,true,NA
org/scribe/builder/api/MisoApi,true,9,true,NA
org/scribe/builder/api/FacebookApi,true,95,true,NA
org/scribe/builder/api/Foursquare2Api,true,38,true,NA
org/scribe/builder/api/TumblrApi,true,9,true,NA
org/scribe/builder/api/SinaWeiboApi,true,10,true,NA
org/scribe/builder/api/LoveFilmApi,true,9,true,NA
org/scribe/builder/api/VimeoApi,true,9,true,NA
org/scribe/builder/api/ConstantContactApi2,true,98,false,NA
org/scribe/builder/api/Px500Api,true,10,true,NA
org/scribe/builder/api/TwitterApi,true,49,true,NA
org/scribe/builder/api/PlurkApi,true,38,true,NA
org/scribe/builder/api/NetProspexApi,true,9,true,NA
org/scribe/builder/api/ViadeoApi,true,95,true,NA
org/scribe/builder/api/SohuWeiboApi,true,10,true,NA
org/scribe/builder/api/RenrenApi,true,97,true,NA
org/scribe/builder/api/SapoApi,true,14,true,NA
org/scribe/builder/api/UbuntuOneApi,true,11,true,NA
org/scribe/builder/api/YahooApi,true,9,true,NA
org/scribe/builder/api/AWeberApi,true,9,true,NA
org/scribe/builder/api/KaixinApi,true,14,true,NA
org/scribe/builder/api/DefaultApi10a,true,11,true,NA
org/scribe/builder/api/FreelancerApi,true,62,true,NA
org/scribe/builder/api/FlickrApi,true,26,true,NA
org/scribe/builder/api/ImgUrApi,true,10,true,NA
org/scribe/builder/api/FoursquareApi,true,9,true,NA
org/scribe/builder/api/LinkedInApi,true,132,false,NA
org/scribe/builder/api/GoogleApi,true,14,true,NA
org/scribe/builder/api/YammerApi,true,12,true,NA
org/scribe/builder/api/VkontakteApi,true,116,true,NA
org/scribe/builder/api/Api,true,3,true,NA
org/scribe/builder/api/XingApi,true,10,true,NA
org/scribe/builder/api/SkyrockApi,true,28,true,NA
org/scribe/builder/api/DefaultApi20,true,5,true,NA
org/scribe/builder/api/MeetupApi,true,9,true,NA
org/scribe/extractors/TokenExtractor20Impl,true,82,true,true
org/scribe/extractors/JsonTokenExtractor,true,56,true,true
org/scribe/extractors/BaseStringExtractorImpl,true,69,true,true
org/scribe/extractors/AccessTokenExtractor,true,2,true,NA
org/scribe/extractors/TokenExtractorImpl,true,99,true,true
org/scribe/extractors/HeaderExtractor,true,2,true,NA
org/scribe/extractors/HeaderExtractorImpl,true,75,false,false
org/scribe/extractors/RequestTokenExtractor,true,2,true,NA
org/scribe/extractors/BaseStringExtractor,true,2,true,NA
org/scribe/model/Token,true,103,false,false
org/scribe/model/RequestTuner,true,1,true,NA
org/scribe/model/Response,true,150,true,true
org/scribe/model/Verb,true,NA,false,false
org/scribe/model/Request,true,520,false,false
org/scribe/model/OAuthRequest,true,67,false,false
org/scribe/model/ParameterList,true,291,false,false
org/scribe/model/Verifier,true,3,true,NA
org/scribe/model/Parameter,true,147,false,false
org/scribe/model/SignatureType,true,NA,false,false
org/scribe/model/OAuthConfig,true,96,false,false
org/scribe/model/OAuthConstants,true,10,true,NA
