Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/StringDecoder,true,2,false,NA
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/Decoder,true,2,false,NA
org/apache/commons/codec/StringEncoder,true,2,false,NA
org/apache/commons/codec/net/QCodec,true,380,false,false
org/apache/commons/codec/net/QuotedPrintableCodec,true,398,false,false
org/apache/commons/codec/net/RFC1522Codec,true,195,false,false
org/apache/commons/codec/net/BCodec,true,185,false,false
org/apache/commons/codec/net/Utils,true,30,false,false
org/apache/commons/codec/net/URLCodec,true,457,false,false
org/apache/commons/codec/CharEncoding,true,3,true,NA
org/apache/commons/codec/StringEncoderComparator,true,22,true,true
org/apache/commons/codec/language/Caverphone1,true,419,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,29,false,false
org/apache/commons/codec/language/bm/Rule,true,1544,false,false
org/apache/commons/codec/language/bm/NameType,true,137,false,false
org/apache/commons/codec/language/bm/RuleType,true,137,false,false
org/apache/commons/codec/language/bm/Languages,true,549,false,false
org/apache/commons/codec/language/bm/Lang,true,295,false,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,1301,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,5,true,NA
org/apache/commons/codec/language/Nysiis,true,506,false,false
org/apache/commons/codec/language/AbstractCaverphone,true,7,false,false
org/apache/commons/codec/language/ColognePhonetic,true,1158,false,false
org/apache/commons/codec/language/DoubleMetaphone,true,7314,false,false
org/apache/commons/codec/language/Caverphone2,true,440,true,true
org/apache/commons/codec/language/Caverphone,true,16,false,NA
org/apache/commons/codec/language/SoundexUtils,true,123,false,false
org/apache/commons/codec/language/Soundex,true,253,false,false
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,984,false,false
org/apache/commons/codec/language/RefinedSoundex,true,133,false,false
org/apache/commons/codec/language/Metaphone,true,973,false,false
org/apache/commons/codec/Encoder,true,2,false,NA
org/apache/commons/codec/BinaryDecoder,true,2,false,NA
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/BinaryEncoder,true,2,true,NA
org/apache/commons/codec/Charsets,true,114,true,true
org/apache/commons/codec/digest/B64,true,108,true,true
org/apache/commons/codec/digest/HmacUtils,false,NA,false,false
org/apache/commons/codec/digest/Md5Crypt,true,316,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,193,false,false
org/apache/commons/codec/digest/Crypt,true,42,true,true
org/apache/commons/codec/digest/DigestUtils,true,204,false,false
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,true,NA
org/apache/commons/codec/digest/UnixCrypt,true,8958,false,false
org/apache/commons/codec/digest/Sha2Crypt,true,885,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,113,true,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,164,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,2691,false,false
org/apache/commons/codec/binary/Hex,true,400,false,false
org/apache/commons/codec/binary/BinaryCodec,true,365,false,false
org/apache/commons/codec/binary/BaseNCodec,true,550,false,false
org/apache/commons/codec/binary/Base32,true,3498,false,false
org/apache/commons/codec/binary/StringUtils,true,104,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,198,false,false
