Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/scribe/exceptions/OAuthConnectionException,true,3,true,NA
org/scribe/exceptions/OAuthException,true,1,true,true
org/scribe/exceptions/OAuthSignatureException,true,6,true,true
org/scribe/exceptions/OAuthParametersMissingException,true,11,true,true
org/scribe/utils/MapUtils,true,6,true,true
org/scribe/utils/Preconditions,true,8,true,true
org/scribe/utils/StreamUtils,true,4,true,true
org/scribe/utils/OAuthEncoder,true,3,true,true
org/scribe/oauth/OAuth20ServiceImpl,true,28,true,NA
org/scribe/oauth/OAuthService,true,8,true,NA
org/scribe/oauth/OAuth10aServiceImpl,true,113,false,NA
org/scribe/services/TimestampService,true,1,true,NA
org/scribe/services/Base64Encoder,true,2,true,true
org/scribe/services/DatatypeConverterEncoder,true,2,true,NA
org/scribe/services/HMACSha1SignatureService,true,21,true,true
org/scribe/services/RSASha1SignatureService,true,9,true,true
org/scribe/services/PlaintextSignatureService,true,3,true,NA
org/scribe/services/SignatureService,true,1,true,NA
org/scribe/services/TimestampServiceImpl,true,43,false,false
org/scribe/services/CommonsEncoder,true,3,true,true
org/scribe/builder/ServiceBuilder,true,39,false,false
org/scribe/builder/api/MendeleyApi,true,15,true,NA
org/scribe/builder/api/GetGlueApi,true,14,true,NA
org/scribe/builder/api/QWeiboApi,true,15,true,NA
org/scribe/builder/api/DiggApi,true,19,true,NA
org/scribe/builder/api/NeteaseWeibooApi,true,21,true,NA
org/scribe/builder/api/SimpleGeoApi,true,12,true,NA
org/scribe/builder/api/LiveApi,true,26,true,NA
org/scribe/builder/api/DropBoxApi,true,4,true,NA
org/scribe/builder/api/SinaWeiboApi20,true,33,true,NA
org/scribe/builder/api/EvernoteApi,true,27,true,NA
org/scribe/builder/api/KaixinApi20,true,31,true,NA
org/scribe/builder/api/TrelloApi,true,9,true,NA
org/scribe/builder/api/ConstantContactApi,true,9,true,NA
org/scribe/builder/api/MisoApi,true,14,true,NA
org/scribe/builder/api/FacebookApi,true,24,true,NA
org/scribe/builder/api/Foursquare2Api,true,11,true,NA
org/scribe/builder/api/TumblrApi,true,14,true,NA
org/scribe/builder/api/SinaWeiboApi,true,15,true,NA
org/scribe/builder/api/LoveFilmApi,true,14,true,NA
org/scribe/builder/api/VimeoApi,true,8,true,NA
org/scribe/builder/api/ConstantContactApi2,true,69,false,NA
org/scribe/builder/api/Px500Api,true,9,true,NA
org/scribe/builder/api/TwitterApi,true,46,true,NA
org/scribe/builder/api/PlurkApi,true,40,true,NA
org/scribe/builder/api/NetProspexApi,true,14,true,NA
org/scribe/builder/api/ViadeoApi,true,29,true,NA
org/scribe/builder/api/SohuWeiboApi,true,15,true,NA
org/scribe/builder/api/RenrenApi,true,31,true,NA
org/scribe/builder/api/SapoApi,true,20,true,NA
org/scribe/builder/api/UbuntuOneApi,true,10,true,NA
org/scribe/builder/api/YahooApi,true,8,true,NA
org/scribe/builder/api/AWeberApi,true,14,true,NA
org/scribe/builder/api/KaixinApi,true,20,true,NA
org/scribe/builder/api/DefaultApi10a,true,11,true,NA
org/scribe/builder/api/FreelancerApi,true,65,true,NA
org/scribe/builder/api/FlickrApi,true,4,true,NA
org/scribe/builder/api/ImgUrApi,true,6,true,NA
org/scribe/builder/api/FoursquareApi,true,8,true,NA
org/scribe/builder/api/LinkedInApi,true,22,true,NA
org/scribe/builder/api/GoogleApi,true,13,true,NA
org/scribe/builder/api/YammerApi,true,11,true,NA
org/scribe/builder/api/VkontakteApi,true,21,true,NA
org/scribe/builder/api/Api,true,3,true,NA
org/scribe/builder/api/XingApi,true,9,true,NA
org/scribe/builder/api/SkyrockApi,true,24,true,NA
org/scribe/builder/api/DefaultApi20,true,5,true,NA
org/scribe/builder/api/MeetupApi,true,8,true,NA
org/scribe/extractors/TokenExtractor20Impl,true,9,true,true
org/scribe/extractors/JsonTokenExtractor,true,3,true,true
org/scribe/extractors/BaseStringExtractorImpl,true,14,true,true
org/scribe/extractors/AccessTokenExtractor,true,2,true,NA
org/scribe/extractors/TokenExtractorImpl,true,3,true,true
org/scribe/extractors/HeaderExtractor,true,2,true,NA
org/scribe/extractors/HeaderExtractorImpl,true,24,true,false
org/scribe/extractors/RequestTokenExtractor,true,2,true,NA
org/scribe/extractors/BaseStringExtractor,true,2,true,NA
org/scribe/model/Token,true,20,false,false
org/scribe/model/RequestTuner,true,0,true,NA
org/scribe/model/Response,true,0,false,false
org/scribe/model/Verb,true,4,true,true
org/scribe/model/Request,true,83,false,false
org/scribe/model/OAuthRequest,true,30,true,true
org/scribe/model/ParameterList,true,57,true,false
org/scribe/model/Verifier,true,0,true,NA
org/scribe/model/Parameter,true,8,false,false
org/scribe/model/SignatureType,true,4,true,true
org/scribe/model/OAuthConfig,true,12,true,true
org/scribe/model/OAuthConstants,true,5,true,NA
