Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/imaging/ImageParser,true,450,false,false
org/apache/commons/imaging/FormatCompliance,true,163,true,true
org/apache/commons/imaging/util/IoUtils,true,37,true,true
org/apache/commons/imaging/util/Debug,true,291,true,true
org/apache/commons/imaging/util/package-info,false,NA,false,NA
org/apache/commons/imaging/ColorTools,true,166,true,NA
org/apache/commons/imaging/color/ColorCieLuv,true,16,true,true
org/apache/commons/imaging/color/ColorCieLch,true,16,true,true
org/apache/commons/imaging/color/ColorHunterLab,true,16,true,true
org/apache/commons/imaging/color/ColorConversions,true,780,true,true
org/apache/commons/imaging/color/ColorXyz,true,22,true,true
org/apache/commons/imaging/color/ColorCieLab,true,16,true,true
org/apache/commons/imaging/color/ColorCmyk,true,17,true,true
org/apache/commons/imaging/color/ColorCmy,true,13,true,true
org/apache/commons/imaging/color/ColorHsv,true,22,true,true
org/apache/commons/imaging/color/package-info,false,NA,false,NA
org/apache/commons/imaging/color/ColorHsl,true,22,true,true
org/apache/commons/imaging/ImageFormats,true,6,true,true
org/apache/commons/imaging/common/BasicCParser,true,319,true,true
org/apache/commons/imaging/common/IBufferedImageFactory,true,0,true,NA
org/apache/commons/imaging/common/BinaryFunctions,true,262,true,true
org/apache/commons/imaging/common/PackBits,true,144,true,true
org/apache/commons/imaging/common/ByteConversions,true,288,true,true
org/apache/commons/imaging/common/mylzw/MyBitOutputStream,true,172,true,true
org/apache/commons/imaging/common/mylzw/BitsToByteInputStream,true,28,true,true
org/apache/commons/imaging/common/mylzw/MyLzwDecompressor,true,280,false,false
org/apache/commons/imaging/common/mylzw/MyBitInputStream,true,117,true,true
org/apache/commons/imaging/common/mylzw/MyLzwCompressor,true,515,false,false
org/apache/commons/imaging/common/mylzw/package-info,false,NA,false,NA
org/apache/commons/imaging/common/IImageMetadata,true,15,false,NA
org/apache/commons/imaging/common/bytesource/ByteSource,true,13,true,true
org/apache/commons/imaging/common/bytesource/ByteSourceFile,true,53,true,true
org/apache/commons/imaging/common/bytesource/ByteSourceArray,true,57,true,true
org/apache/commons/imaging/common/bytesource/package-info,false,NA,false,NA
org/apache/commons/imaging/common/bytesource/ByteSourceInputStream,true,636,false,false
org/apache/commons/imaging/common/ImageMetadata,true,109,false,false
org/apache/commons/imaging/common/itu_t4/HuffmanTreeException,true,3,true,NA
org/apache/commons/imaging/common/itu_t4/HuffmanTree,true,68,false,false
