Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/joda/time/field/DecoratedDurationField,true,30,true,true
org/joda/time/field/PreciseDateTimeField,true,71,true,true
org/joda/time/field/MillisDurationField,true,12,true,true
org/joda/time/field/ScaledDurationField,true,139,true,true
org/joda/time/field/SkipDateTimeField,true,60,true,true
org/joda/time/field/DecoratedDateTimeField,true,37,true,true
org/joda/time/field/FieldUtils,true,39,true,true
org/joda/time/field/DividedDateTimeField,true,194,true,true
org/joda/time/field/UnsupportedDurationField,true,95,true,true
org/joda/time/field/PreciseDurationField,true,52,true,true
org/joda/time/field/DelegatedDurationField,true,112,true,NA
org/joda/time/field/AbstractPartialFieldProperty,true,173,false,false
org/joda/time/field/PreciseDurationDateTimeField,true,98,true,true
org/joda/time/field/BaseDateTimeField,true,455,true,true
org/joda/time/field/OffsetDateTimeField,true,135,true,true
org/joda/time/field/BaseDurationField,true,36,true,true
org/joda/time/field/DelegatedDateTimeField,true,276,true,true
org/joda/time/field/StrictDateTimeField,true,6,true,true
org/joda/time/field/RemainderDateTimeField,true,154,true,true
org/joda/time/field/ZeroIsMaxDateTimeField,true,96,true,true
org/joda/time/field/SkipUndoDateTimeField,true,58,true,true
org/joda/time/field/AbstractReadableInstantFieldProperty,true,234,false,false
org/joda/time/field/ImpreciseDateTimeField,true,56,true,true
org/joda/time/field/UnsupportedDateTimeField,true,244,true,true
org/joda/time/field/LenientDateTimeField,true,18,true,true
org/joda/time/chrono/IslamicChronology,true,365,true,false
org/joda/time/chrono/GJCacheKey,true,84,true,true
org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,66,true,true
org/joda/time/chrono/ZonedChronology,true,2719,true,true
org/joda/time/chrono/LenientChronology,true,178,true,true
org/joda/time/chrono/EthiopicChronology,true,98,true,true
org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,true,true
org/joda/time/chrono/BuddhistChronology,true,35,true,true
org/joda/time/chrono/GJDayOfWeekDateTimeField,true,20,true,true
org/joda/time/chrono/GJEraDateTimeField,true,86,false,false
org/joda/time/chrono/StrictChronology,true,59,true,true
org/joda/time/chrono/GJLocaleSymbols,true,303,true,true
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,59,true,true
org/joda/time/chrono/BasicSingleEraDateTimeField,true,46,true,true
org/joda/time/chrono/BasicFixedMonthChronology,true,94,true,true
org/joda/time/chrono/BaseChronology,true,264,true,true
org/joda/time/chrono/GJChronology,true,3459,true,true
org/joda/time/chrono/BasicDayOfYearDateTimeField,true,55,true,true
org/joda/time/chrono/BasicGJChronology,true,212,true,true
org/joda/time/chrono/BasicWeekyearDateTimeField,true,157,true,true
org/joda/time/chrono/ISOChronology,true,68,true,true
org/joda/time/chrono/GJYearOfEraDateTimeField,true,58,true,true
org/joda/time/chrono/BasicYearDateTimeField,true,106,false,false
org/joda/time/chrono/CopticChronology,true,96,true,true
org/joda/time/chrono/ISOYearOfEraDateTimeField,true,58,true,true
org/joda/time/chrono/LimitChronology,true,1137,false,false
org/joda/time/chrono/AssembledChronology,true,671,false,false
org/joda/time/chrono/BasicChronology,true,640,true,true
org/joda/time/chrono/GregorianChronology,true,102,true,true
org/joda/time/chrono/JulianChronology,true,112,true,true
