Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/StringDecoder,true,0,true,NA
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/Decoder,true,0,true,NA
org/apache/commons/codec/StringEncoder,true,0,true,NA
org/apache/commons/codec/net/QCodec,true,185,false,false
org/apache/commons/codec/net/QuotedPrintableCodec,true,159,true,true
org/apache/commons/codec/net/RFC1522Codec,true,33,true,true
org/apache/commons/codec/net/BCodec,true,48,true,true
org/apache/commons/codec/net/Utils,true,13,true,true
org/apache/commons/codec/net/URLCodec,true,195,true,true
org/apache/commons/codec/CharEncoding,true,0,true,NA
org/apache/commons/codec/StringEncoderComparator,true,11,true,true
org/apache/commons/codec/language/Caverphone1,true,1,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,9,true,true
org/apache/commons/codec/language/bm/Rule,true,493,false,false
org/apache/commons/codec/language/bm/NameType,true,1,true,true
org/apache/commons/codec/language/bm/RuleType,true,1,true,true
org/apache/commons/codec/language/bm/Languages,true,263,true,true
org/apache/commons/codec/language/bm/Lang,true,127,true,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,216,true,true
org/apache/commons/codec/language/bm/ResourceConstants,true,5,true,NA
org/apache/commons/codec/language/Nysiis,true,81,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,7,true,true
org/apache/commons/codec/language/ColognePhonetic,true,363,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,3718,false,false
org/apache/commons/codec/language/Caverphone2,true,1,true,true
org/apache/commons/codec/language/Caverphone,true,9,true,NA
org/apache/commons/codec/language/SoundexUtils,true,17,true,true
org/apache/commons/codec/language/Soundex,true,106,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,274,true,true
org/apache/commons/codec/language/RefinedSoundex,true,37,true,true
org/apache/commons/codec/language/Metaphone,true,265,true,true
org/apache/commons/codec/Encoder,true,0,true,NA
org/apache/commons/codec/BinaryDecoder,true,0,true,NA
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/BinaryEncoder,true,0,true,NA
org/apache/commons/codec/Charsets,true,28,true,true
org/apache/commons/codec/digest/B64,true,9,true,true
org/apache/commons/codec/digest/HmacUtils,true,136,true,true
org/apache/commons/codec/digest/Md5Crypt,true,78,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,5,true,true
org/apache/commons/codec/digest/Crypt,true,36,true,true
org/apache/commons/codec/digest/DigestUtils,true,176,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,true,NA
org/apache/commons/codec/digest/UnixCrypt,true,226,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,90,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,16,true,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,149,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,405,true,true
org/apache/commons/codec/binary/Hex,true,62,true,false
org/apache/commons/codec/binary/BinaryCodec,true,146,false,false
org/apache/commons/codec/binary/BaseNCodec,true,283,false,false
org/apache/commons/codec/binary/Base32,true,608,false,false
org/apache/commons/codec/binary/StringUtils,true,38,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,125,true,true
