Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/Charsets,true,73,true,true
org/apache/commons/codec/net/PercentCodec,true,207,true,true
org/apache/commons/codec/net/RFC1522Codec,true,39,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,193,true,true
org/apache/commons/codec/net/URLCodec,true,182,true,true
org/apache/commons/codec/net/QCodec,true,151,true,true
org/apache/commons/codec/net/BCodec,true,36,true,true
org/apache/commons/codec/net/Utils,true,13,true,true
org/apache/commons/codec/digest/Crypt,true,30,true,true
org/apache/commons/codec/digest/HmacUtils,true,71,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,6,true,true
org/apache/commons/codec/digest/DigestUtils,true,97,true,true
org/apache/commons/codec/digest/UnixCrypt,true,210,true,true
org/apache/commons/codec/digest/PureJavaCrc32,true,5248,true,true
org/apache/commons/codec/digest/PureJavaCrc32C,true,5402,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,120,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,33,true,true
org/apache/commons/codec/digest/Md5Crypt,true,65,true,true
org/apache/commons/codec/digest/XXHash32,true,322,true,true
org/apache/commons/codec/digest/B64,true,10,true,true
org/apache/commons/codec/DecoderException,true,1,true,true
org/apache/commons/codec/binary/BaseNCodec,true,228,true,true
org/apache/commons/codec/binary/StringUtils,true,2,true,true
org/apache/commons/codec/binary/Base32InputStream,true,0,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,173,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,0,true,true
org/apache/commons/codec/binary/Base64,true,563,true,true
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,120,true,true
org/apache/commons/codec/binary/Hex,true,82,true,true
org/apache/commons/codec/binary/BinaryCodec,true,85,true,true
org/apache/commons/codec/binary/Base32,true,775,true,true
org/apache/commons/codec/binary/Base64InputStream,true,0,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,0,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,0,true,true
org/apache/commons/codec/BinaryEncoder,true,2,true,true
org/apache/commons/codec/Encoder,true,2,true,true
org/apache/commons/codec/StringEncoderComparator,true,5,true,true
org/apache/commons/codec/cli/Digest,true,70,true,true
org/apache/commons/codec/StringDecoder,true,2,true,true
org/apache/commons/codec/CharEncoding,true,0,true,true
org/apache/commons/codec/BinaryDecoder,true,2,true,true
org/apache/commons/codec/EncoderException,true,1,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,4,true,true
org/apache/commons/codec/language/Metaphone,true,262,true,true
org/apache/commons/codec/language/bm/Languages,true,109,true,true
org/apache/commons/codec/language/bm/NameType,true,0,true,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,112,true,true
org/apache/commons/codec/language/bm/RuleType,true,0,true,true
org/apache/commons/codec/language/bm/Rule,true,195,true,true
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,true
org/apache/commons/codec/language/bm/Lang,true,63,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,11,true,true
org/apache/commons/codec/language/Caverphone1,true,15,true,true
org/apache/commons/codec/language/DaitchMokotoffSoundex,true,288,true,true
org/apache/commons/codec/language/Caverphone2,true,15,true,true
org/apache/commons/codec/language/RefinedSoundex,true,59,true,true
org/apache/commons/codec/language/Nysiis,true,130,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,636,true,true
org/apache/commons/codec/language/SoundexUtils,true,3,true,true
org/apache/commons/codec/language/Soundex,true,97,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,260,true,true
org/apache/commons/codec/language/ColognePhonetic,true,230,true,true
org/apache/commons/codec/language/Caverphone,true,7,true,true
org/apache/commons/codec/StringEncoder,true,2,true,true
org/apache/commons/codec/Decoder,true,2,true,true
