Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/Charsets,true,28,true,true
org/apache/commons/codec/net/PercentCodec,true,286,true,true
org/apache/commons/codec/net/RFC1522Codec,true,65,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,323,false,false
org/apache/commons/codec/net/URLCodec,true,236,true,true
org/apache/commons/codec/net/QCodec,true,244,true,true
org/apache/commons/codec/net/BCodec,true,111,true,true
org/apache/commons/codec/net/Utils,true,23,true,true
org/apache/commons/codec/digest/Crypt,true,36,true,true
org/apache/commons/codec/digest/HmacUtils,true,1211,true,false
org/apache/commons/codec/digest/HmacAlgorithms,true,77,false,false
org/apache/commons/codec/digest/DigestUtils,true,1580,false,false
org/apache/commons/codec/digest/UnixCrypt,true,168,true,true
org/apache/commons/codec/digest/PureJavaCrc32,true,5173,true,true
org/apache/commons/codec/digest/PureJavaCrc32C,true,5352,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,152,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,33,true,true
org/apache/commons/codec/digest/Md5Crypt,true,150,true,true
org/apache/commons/codec/digest/XXHash32,true,175,true,true
org/apache/commons/codec/digest/B64,true,18,true,true
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/binary/BaseNCodec,true,207,true,true
org/apache/commons/codec/binary/StringUtils,true,60,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,123,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,387,true,true
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,46,true,true
org/apache/commons/codec/binary/Hex,true,146,true,true
org/apache/commons/codec/binary/BinaryCodec,true,92,true,true
org/apache/commons/codec/binary/Base32,true,415,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,12,true,true
org/apache/commons/codec/BinaryEncoder,true,1,true,true
org/apache/commons/codec/Encoder,true,1,true,true
org/apache/commons/codec/StringEncoderComparator,true,21,true,true
org/apache/commons/codec/cli/Digest,true,386,true,true
org/apache/commons/codec/StringDecoder,true,1,true,true
org/apache/commons/codec/CharEncoding,true,0,true,true
org/apache/commons/codec/BinaryDecoder,true,1,true,true
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,8,true,true
org/apache/commons/codec/language/Metaphone,true,169,true,true
org/apache/commons/codec/language/bm/Languages,true,601,false,false
org/apache/commons/codec/language/bm/NameType,true,49,false,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,1175,false,false
org/apache/commons/codec/language/bm/RuleType,true,49,false,false
org/apache/commons/codec/language/bm/Rule,true,1952,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,true
org/apache/commons/codec/language/bm/Lang,true,427,true,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,75,true,true
org/apache/commons/codec/language/Caverphone1,true,18,true,true
org/apache/commons/codec/language/DaitchMokotoffSoundex,true,1251,true,false
org/apache/commons/codec/language/Caverphone2,true,18,true,true
org/apache/commons/codec/language/RefinedSoundex,true,47,true,true
org/apache/commons/codec/language/Nysiis,true,53,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,3572,true,false
org/apache/commons/codec/language/SoundexUtils,true,9,true,true
org/apache/commons/codec/language/Soundex,true,156,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,278,true,true
org/apache/commons/codec/language/ColognePhonetic,true,831,true,false
org/apache/commons/codec/language/Caverphone,true,29,true,true
org/apache/commons/codec/StringEncoder,true,1,true,true
org/apache/commons/codec/Decoder,true,1,true,true
