Class,isDecompilable,distanceToOriginal,isRecompilable,passTests
org/apache/commons/codec/Charsets,true,28,true,true
org/apache/commons/codec/net/PercentCodec,true,343,true,true
org/apache/commons/codec/net/RFC1522Codec,true,179,true,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,416,true,true
org/apache/commons/codec/net/URLCodec,true,279,true,true
org/apache/commons/codec/net/QCodec,true,287,true,true
org/apache/commons/codec/net/BCodec,true,99,true,true
org/apache/commons/codec/net/Utils,true,18,true,true
org/apache/commons/codec/digest/Crypt,true,54,true,true
org/apache/commons/codec/digest/HmacUtils,true,252,true,true
org/apache/commons/codec/digest/HmacAlgorithms,true,8,true,true
org/apache/commons/codec/digest/DigestUtils,true,268,true,true
org/apache/commons/codec/digest/UnixCrypt,true,295,true,true
org/apache/commons/codec/digest/PureJavaCrc32,true,5269,true,true
org/apache/commons/codec/digest/PureJavaCrc32C,true,5436,true,true
org/apache/commons/codec/digest/Sha2Crypt,true,329,true,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,36,true,true
org/apache/commons/codec/digest/Md5Crypt,true,115,true,true
org/apache/commons/codec/digest/XXHash32,true,384,true,true
org/apache/commons/codec/digest/B64,true,29,true,true
org/apache/commons/codec/DecoderException,true,5,true,true
org/apache/commons/codec/binary/BaseNCodec,true,482,false,false
org/apache/commons/codec/binary/StringUtils,true,97,true,true
org/apache/commons/codec/binary/Base32InputStream,true,7,true,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,196,true,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,true,true
org/apache/commons/codec/binary/Base64,true,581,true,true
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,124,true,true
org/apache/commons/codec/binary/Hex,true,107,true,true
org/apache/commons/codec/binary/BinaryCodec,true,136,true,true
org/apache/commons/codec/binary/Base32,true,773,true,true
org/apache/commons/codec/binary/Base64InputStream,true,7,true,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,true,true
org/apache/commons/codec/binary/CharSequenceUtils,true,18,true,true
org/apache/commons/codec/BinaryEncoder,true,1,true,true
org/apache/commons/codec/Encoder,true,1,true,true
org/apache/commons/codec/StringEncoderComparator,true,22,true,true
org/apache/commons/codec/cli/Digest,true,267,true,true
org/apache/commons/codec/StringDecoder,true,1,true,true
org/apache/commons/codec/CharEncoding,true,0,true,true
org/apache/commons/codec/BinaryDecoder,true,1,true,true
org/apache/commons/codec/EncoderException,true,5,true,true
org/apache/commons/codec/language/AbstractCaverphone,true,10,true,true
org/apache/commons/codec/language/Metaphone,true,421,true,true
org/apache/commons/codec/language/bm/Languages,true,524,false,false
org/apache/commons/codec/language/bm/NameType,true,1,true,true
org/apache/commons/codec/language/bm/PhoneticEngine,true,922,false,false
org/apache/commons/codec/language/bm/RuleType,true,1,true,true
org/apache/commons/codec/language/bm/Rule,true,1459,false,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,true,true
org/apache/commons/codec/language/bm/Lang,true,294,false,false
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,34,true,true
org/apache/commons/codec/language/Caverphone1,true,96,true,true
org/apache/commons/codec/language/DaitchMokotoffSoundex,true,1101,false,false
org/apache/commons/codec/language/Caverphone2,true,99,true,true
org/apache/commons/codec/language/RefinedSoundex,true,85,true,true
org/apache/commons/codec/language/Nysiis,true,244,true,true
org/apache/commons/codec/language/DoubleMetaphone,true,5206,false,false
org/apache/commons/codec/language/SoundexUtils,true,46,true,true
org/apache/commons/codec/language/Soundex,true,182,true,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,563,true,true
org/apache/commons/codec/language/ColognePhonetic,true,534,false,false
org/apache/commons/codec/language/Caverphone,true,13,true,true
org/apache/commons/codec/StringEncoder,true,1,true,true
org/apache/commons/codec/Decoder,true,1,true,true
