class,nbInstructions
org/bukkit/Achievement,397
org/bukkit/Art,427
org/bukkit/BanEntry,0
org/bukkit/BanList,0
org/bukkit/BanList$Type,45
org/bukkit/block/Beacon,0
org/bukkit/block/Biome,635
org/bukkit/block/Block,0
org/bukkit/block/BlockFace,479
org/bukkit/block/BlockState,0
org/bukkit/block/BrewingStand,0
org/bukkit/BlockChangeDelegate,0
org/bukkit/block/Chest,0
org/bukkit/block/CommandBlock,0
org/bukkit/block/ContainerBlock,0
org/bukkit/block/CreatureSpawner,0
org/bukkit/block/Dispenser,0
org/bukkit/block/DoubleChest,75
org/bukkit/block/Dropper,0
org/bukkit/block/Furnace,0
org/bukkit/block/Hopper,0
org/bukkit/block/Jukebox,0
org/bukkit/block/NoteBlock,0
org/bukkit/block/PistonMoveReaction,94
org/bukkit/block/Sign,0
org/bukkit/block/Skull,0
org/bukkit/Bukkit,360
org/bukkit/ChatColor,498
org/bukkit/Chunk,0
org/bukkit/ChunkSnapshot,0
org/bukkit/CoalType,81
org/bukkit/Color,411
org/bukkit/command/BlockCommandSender,0
org/bukkit/command/Command,443
org/bukkit/command/CommandException,12
org/bukkit/command/CommandExecutor,0
org/bukkit/command/CommandMap,0
org/bukkit/command/CommandSender,0
org/bukkit/command/ConsoleCommandSender,0
org/bukkit/command/defaults/AchievementCommand,542
org/bukkit/command/defaults/BanCommand,104
org/bukkit/command/defaults/BanIpCommand,122
org/bukkit/command/defaults/BanListCommand,148
org/bukkit/command/defaults/BukkitCommand,11
org/bukkit/command/defaults/ClearCommand,250
org/bukkit/command/defaults/DefaultGameModeCommand,123
org/bukkit/command/defaults/DeopCommand,123
org/bukkit/command/defaults/DifficultyCommand,173
org/bukkit/command/defaults/EffectCommand,332
org/bukkit/command/defaults/EnchantCommand,447
org/bukkit/command/defaults/ExpCommand,218
org/bukkit/command/defaults/GameModeCommand,220
org/bukkit/command/defaults/GameRuleCommand,175
org/bukkit/command/defaults/GiveCommand,279
org/bukkit/command/defaults/HelpCommand,657
org/bukkit/command/defaults/KickCommand,114
org/bukkit/command/defaults/KillCommand,67
org/bukkit/command/defaults/ListCommand,89
