class,nbInstructions
org/bukkit/command/defaults/MeCommand,83
org/bukkit/command/defaults/OpCommand,137
org/bukkit/command/defaults/PardonCommand,102
org/bukkit/command/defaults/PardonIpCommand,91
org/bukkit/command/defaults/PlaySoundCommand,267
org/bukkit/command/defaults/PluginsCommand,41
org/bukkit/command/defaults/ReloadCommand,42
org/bukkit/command/defaults/SaveCommand,52
org/bukkit/command/defaults/SaveOffCommand,49
org/bukkit/command/defaults/SaveOnCommand,49
org/bukkit/command/defaults/SayCommand,125
org/bukkit/command/defaults/ScoreboardCommand,2386
org/bukkit/command/defaults/SeedCommand,56
org/bukkit/command/defaults/SetIdleTimeoutCommand,83
org/bukkit/command/defaults/SetWorldSpawnCommand,160
org/bukkit/command/defaults/SpawnpointCommand,216
org/bukkit/command/defaults/SpreadPlayersCommand,328
org/bukkit/command/defaults/StopCommand,58
org/bukkit/command/defaults/TeleportCommand,263
org/bukkit/command/defaults/TellCommand,134
org/bukkit/command/defaults/TestForCommand,50
org/bukkit/command/defaults/TimeCommand,235
org/bukkit/command/defaults/TimingsCommand,402
org/bukkit/command/defaults/ToggleDownfallCommand,105
org/bukkit/command/defaults/VanillaCommand,158
org/bukkit/command/defaults/VersionCommand,199
org/bukkit/command/defaults/WeatherCommand,185
org/bukkit/command/defaults/WhitelistCommand,341
org/bukkit/command/FormattedCommandAlias,78
org/bukkit/command/MultipleCommandAlias,39
org/bukkit/command/PluginCommand,242
org/bukkit/command/PluginCommandYamlParser,207
org/bukkit/command/PluginIdentifiableCommand,0
org/bukkit/command/RemoteConsoleCommandSender,0
org/bukkit/command/SimpleCommandMap,726
org/bukkit/command/TabCommandExecutor,0
org/bukkit/command/TabCompleter,0
org/bukkit/command/TabExecutor,0
org/bukkit/configuration/Configuration,0
org/bukkit/configuration/ConfigurationOptions,31
org/bukkit/configuration/ConfigurationSection,0
org/bukkit/configuration/file/FileConfiguration,208
org/bukkit/configuration/file/FileConfigurationOptions,64
org/bukkit/configuration/file/YamlConfiguration,409
org/bukkit/configuration/file/YamlConfigurationOptions,100
org/bukkit/configuration/file/YamlConstructor,13
org/bukkit/configuration/file/YamlConstructor$ConstructCustomObject,76
org/bukkit/configuration/file/YamlRepresenter,33
org/bukkit/configuration/file/YamlRepresenter$RepresentConfigurationSection,11
org/bukkit/configuration/file/YamlRepresenter$RepresentConfigurationSerializable,26
org/bukkit/configuration/InvalidConfigurationException,16
org/bukkit/configuration/MemoryConfiguration,85
org/bukkit/configuration/MemoryConfigurationOptions,31
org/bukkit/configuration/MemorySection,1797
org/bukkit/configuration/serialization/ConfigurationSerializable,0
org/bukkit/configuration/serialization/ConfigurationSerialization,365
org/bukkit/configuration/serialization/DelegateDeserialization,0
org/bukkit/configuration/serialization/SerializableAs,0
org/bukkit/conversations/BooleanPrompt,41
org/bukkit/conversations/Conversable,0
org/bukkit/conversations/ConversationAbandonedEvent,29
org/bukkit/conversations/ConversationAbandonedListener,0
org/bukkit/conversations/ConversationCanceller,0
org/bukkit/conversations/Conversation,271
org/bukkit/conversations/ConversationContext,30
org/bukkit/conversations/Conversation$ConversationState,55
org/bukkit/conversations/ConversationFactory,179
org/bukkit/conversations/ConversationFactory$NotPlayerMessagePrompt,10
org/bukkit/conversations/ConversationPrefix,0
org/bukkit/conversations/ExactMatchConversationCanceller,21
org/bukkit/conversations/FixedSetPrompt,25
org/bukkit/conversations/InactivityConversationCanceller$1,41
org/bukkit/conversations/InactivityConversationCanceller,39
org/bukkit/conversations/ManuallyAbandonedConversationCanceller,18
org/bukkit/conversations/MessagePrompt,9
org/bukkit/conversations/NullConversationPrefix,5
org/bukkit/conversations/NumericPrompt,48
org/bukkit/conversations/PlayerNamePrompt,25
org/bukkit/conversations/PluginNameConversationPrefix,37
org/bukkit/conversations/Prompt,3
org/bukkit/conversations/RegexPrompt,17
org/bukkit/conversations/StringPrompt,5
org/bukkit/conversations/ValidatingPrompt,37
org/bukkit/CropState,147
org/bukkit/Difficulty,103
org/bukkit/DyeColor,392
org/bukkit/Effect,273
org/bukkit/Effect$Type,45
org/bukkit/enchantments/Enchantment,242
org/bukkit/enchantments/EnchantmentTarget$10,10
org/bukkit/enchantments/EnchantmentTarget$1,8
org/bukkit/enchantments/EnchantmentTarget$2,26
org/bukkit/enchantments/EnchantmentTarget$3,30
org/bukkit/enchantments/EnchantmentTarget$4,30
org/bukkit/enchantments/EnchantmentTarget$5,30
org/bukkit/enchantments/EnchantmentTarget$6,30
org/bukkit/enchantments/EnchantmentTarget$7,30
org/bukkit/enchantments/EnchantmentTarget$8,98
org/bukkit/enchantments/EnchantmentTarget$9,10
org/bukkit/enchantments/EnchantmentTarget,135
org/bukkit/enchantments/EnchantmentWrapper,34
org/bukkit/entity/Ageable,0
org/bukkit/entity/Ambient,0
org/bukkit/entity/Animals,0
org/bukkit/entity/AnimalTamer,0
org/bukkit/entity/Arrow,0
org/bukkit/entity/Bat,0
org/bukkit/entity/Blaze,0
org/bukkit/entity/Boat,0
org/bukkit/entity/CaveSpider,0
org/bukkit/entity/Chicken,0
org/bukkit/entity/ComplexEntityPart,0
org/bukkit/entity/ComplexLivingEntity,0
org/bukkit/entity/Cow,0
org/bukkit/entity/Creature,0
org/bukkit/entity/CreatureType,394
org/bukkit/entity/Creeper,0
org/bukkit/entity/Damageable,0
org/bukkit/EntityEffect,202
org/bukkit/entity/Egg,0
org/bukkit/entity/EnderCrystal,0
org/bukkit/entity/EnderDragon,0
org/bukkit/entity/EnderDragonPart,0
org/bukkit/entity/Enderman,0
org/bukkit/entity/EnderPearl,0
org/bukkit/entity/EnderSignal,0
org/bukkit/entity/Entity,0
org/bukkit/entity/EntityType,923
org/bukkit/entity/ExperienceOrb,0
org/bukkit/entity/Explosive,0
org/bukkit/entity/FallingBlock,0
org/bukkit/entity/FallingSand,0
org/bukkit/entity/Fireball,0
org/bukkit/entity/Firework,0
org/bukkit/entity/Fish,0
org/bukkit/entity/FishHook,0
org/bukkit/entity/Flying,0
org/bukkit/entity/Ghast,0
org/bukkit/entity/Giant,0
org/bukkit/entity/Golem,0
org/bukkit/entity/Hanging,0
org/bukkit/entity/Horse,0
org/bukkit/entity/Horse$Color,95
org/bukkit/entity/Horse$Style,75
org/bukkit/entity/Horse$Variant,75
org/bukkit/entity/HumanEntity,0
org/bukkit/entity/IronGolem,0
org/bukkit/entity/Item,0
org/bukkit/entity/ItemFrame,0
org/bukkit/entity/LargeFireball,0
org/bukkit/entity/LeashHitch,0
org/bukkit/entity/LightningStrike,0
org/bukkit/entity/LivingEntity,0
org/bukkit/entity/MagmaCube,0
org/bukkit/entity/Minecart,0
org/bukkit/entity/minecart/CommandMinecart,0
org/bukkit/entity/minecart/ExplosiveMinecart,0
org/bukkit/entity/minecart/HopperMinecart,0
org/bukkit/entity/minecart/PoweredMinecart,0
org/bukkit/entity/minecart/RideableMinecart,0
org/bukkit/entity/minecart/SpawnerMinecart,0
org/bukkit/entity/minecart/StorageMinecart,0
org/bukkit/entity/Monster,0
org/bukkit/entity/MushroomCow,0
org/bukkit/entity/NPC,0
org/bukkit/entity/Ocelot,0
org/bukkit/entity/Ocelot$Type,107
org/bukkit/entity/Painting,0
org/bukkit/entity/Pig,0
org/bukkit/entity/PigZombie,0
org/bukkit/entity/Player,0
org/bukkit/entity/PoweredMinecart,0
org/bukkit/entity/Projectile,0
org/bukkit/entity/Sheep,0
org/bukkit/entity/Silverfish,0
org/bukkit/entity/Skeleton,0
org/bukkit/entity/Skeleton$SkeletonType,85
org/bukkit/entity/Slime,0
org/bukkit/entity/SmallFireball,0
org/bukkit/entity/Snowball,0
org/bukkit/entity/Snowman,0
org/bukkit/entity/Spider,0
org/bukkit/entity/Squid,0
org/bukkit/entity/StorageMinecart,0
org/bukkit/entity/Tameable,0
org/bukkit/entity/ThrownExpBottle,0
org/bukkit/entity/ThrownPotion,0
org/bukkit/entity/TNTPrimed,0
org/bukkit/entity/Vehicle,0
org/bukkit/entity/Villager,0
org/bukkit/entity/Villager$Profession,118
org/bukkit/entity/WaterMob,0
org/bukkit/entity/Weather,0
org/bukkit/entity/Witch,0
org/bukkit/entity/Wither,0
org/bukkit/entity/WitherSkull,0
org/bukkit/entity/Wolf,0
org/bukkit/entity/Zombie,0
org/bukkit/event/block/Action,75
org/bukkit/event/block/BlockBreakEvent,18
org/bukkit/event/block/BlockBurnEvent,23
org/bukkit/event/block/BlockCanBuildEvent,33
org/bukkit/event/block/BlockDamageEvent,45
org/bukkit/event/block/BlockDispenseEvent,45
org/bukkit/event/block/BlockEvent,9
org/bukkit/event/block/BlockExpEvent,23
org/bukkit/event/block/BlockFadeEvent,29
org/bukkit/event/block/BlockFormEvent,14
org/bukkit/event/block/BlockFromToEvent,55
org/bukkit/event/block/BlockGrowEvent,29
org/bukkit/event/block/BlockIgniteEvent,71
org/bukkit/event/block/BlockIgniteEvent$IgniteCause,95
org/bukkit/event/block/BlockMultiPlaceEvent,23
org/bukkit/event/block/BlockPhysicsEvent,33
org/bukkit/event/block/BlockPistonEvent,26
org/bukkit/event/block/BlockPistonExtendEvent,53
org/bukkit/event/block/BlockPistonRetractEvent,22
org/bukkit/event/block/BlockPlaceEvent,60
org/bukkit/event/block/BlockRedstoneEvent,29
org/bukkit/event/block/BlockSpreadEvent,20
org/bukkit/event/block/EntityBlockFormEvent,11
org/bukkit/event/block/LeavesDecayEvent,23
org/bukkit/event/block/NotePlayEvent,47
org/bukkit/event/block/SignChangeEvent,46
org/bukkit/event/Cancellable,0
org/bukkit/event/enchantment/EnchantItemEvent,66
org/bukkit/event/enchantment/PrepareItemEnchantEvent,53
org/bukkit/event/entity/CreatureSpawnEvent,48
org/bukkit/event/entity/CreatureSpawnEvent$SpawnReason,275
org/bukkit/event/entity/CreeperPowerEvent,44
org/bukkit/event/entity/CreeperPowerEvent$PowerCause,55
org/bukkit/event/entity/EntityBreakDoorEvent,14
org/bukkit/event/entity/EntityChangeBlockEvent,48
org/bukkit/event/entity/EntityCombustByBlockEvent,11
org/bukkit/event/entity/EntityCombustByEntityEvent,11
org/bukkit/event/entity/EntityCombustEvent,33
org/bukkit/event/entity/EntityCreatePortalEvent,45
org/bukkit/event/entity/EntityDamageByBlockEvent,30
org/bukkit/event/entity/EntityDamageByEntityEvent,30
org/bukkit/event/entity/EntityDamageEvent,305
org/bukkit/event/entity/EntityDamageEvent$DamageCause,245
org/bukkit/event/entity/EntityDamageEvent$DamageModifier,95
org/bukkit/event/entity/EntityDeathEvent,45
org/bukkit/event/entity/EntityEvent,13
org/bukkit/event/entity/EntityExplodeEvent,45
org/bukkit/event/entity/EntityInteractEvent,26
org/bukkit/event/entity/EntityPortalEnterEvent,19
org/bukkit/event/entity/EntityPortalEvent,35
org/bukkit/event/entity/EntityPortalExitEvent,34
org/bukkit/event/entity/EntityRegainHealthEvent,52
org/bukkit/event/entity/EntityRegainHealthEvent$RegainReason,115
org/bukkit/event/entity/EntityShootBowEvent,49
org/bukkit/event/entity/EntityTameEvent,33
org/bukkit/event/entity/EntityTargetEvent,39
org/bukkit/event/entity/EntityTargetEvent$TargetReason,155
org/bukkit/event/entity/EntityTargetLivingEntityEvent,22
org/bukkit/event/entity/EntityTeleportEvent,43
org/bukkit/event/entity/EntityUnleashEvent,19
org/bukkit/event/entity/EntityUnleashEvent$UnleashReason,65
org/bukkit/event/entity/ExpBottleEvent,43
org/bukkit/event/entity/ExplosionPrimeEvent,51
org/bukkit/event/entity/FoodLevelChangeEvent,50
org/bukkit/event/entity/HorseJumpEvent,37
org/bukkit/event/entity/ItemDespawnEvent,33
org/bukkit/event/entity/ItemSpawnEvent,33
org/bukkit/event/entity/PigZapEvent,39
org/bukkit/event/entity/PlayerDeathEvent,106
org/bukkit/event/entity/PlayerLeashEntityEvent,40
org/bukkit/event/entity/PotionSplashEvent,79
org/bukkit/event/entity/ProjectileHitEvent,20
org/bukkit/event/entity/ProjectileLaunchEvent,27
org/bukkit/event/entity/SheepDyeWoolEvent,40
org/bukkit/event/entity/SheepRegrowWoolEvent,30
org/bukkit/event/entity/SlimeSplitEvent,40
org/bukkit/event/Event,24
org/bukkit/event/EventException,29
org/bukkit/event/EventHandler,0
org/bukkit/event/EventPriority,94
org/bukkit/event/Event$Result,55
org/bukkit/event/HandlerList,449
org/bukkit/event/hanging/HangingBreakByEntityEvent,11
org/bukkit/event/hanging/HangingBreakEvent,26
org/bukkit/event/hanging/HangingBreakEvent$RemoveCause,75
org/bukkit/event/hanging/HangingEvent,9
org/bukkit/event/hanging/HangingPlaceEvent,38
org/bukkit/event/inventory/BrewEvent,26
org/bukkit/event/inventory/ClickType,217
org/bukkit/event/inventory/CraftItemEvent,54
org/bukkit/event/inventory/DragType,45
org/bukkit/event/inventory/FurnaceBurnEvent,52
org/bukkit/event/inventory/FurnaceExtractEvent,23
org/bukkit/event/inventory/FurnaceSmeltEvent,42
org/bukkit/event/inventory/InventoryAction,215
org/bukkit/event/inventory/InventoryClickEvent,134
org/bukkit/event/inventory/InventoryCloseEvent,17
org/bukkit/event/inventory/InventoryCreativeEvent,18
org/bukkit/event/inventory/InventoryDragEvent,84
org/bukkit/event/inventory/InventoryEvent,27
org/bukkit/event/inventory/InventoryInteractEvent,34
org/bukkit/event/inventory/InventoryMoveItemEvent,61
org/bukkit/event/inventory/InventoryOpenEvent,27
org/bukkit/event/inventory/InventoryPickupItemEvent,31
org/bukkit/event/inventory/InventoryType,211
org/bukkit/event/inventory/InventoryType$SlotType,95
org/bukkit/event/inventory/PrepareItemCraftEvent,32
org/bukkit/event/Listener,0
org/bukkit/event/painting/PaintingBreakByEntityEvent,11
org/bukkit/event/painting/PaintingBreakEvent,26
org/bukkit/event/painting/PaintingBreakEvent$RemoveCause,75
org/bukkit/event/painting/PaintingEvent,9
org/bukkit/event/painting/PaintingPlaceEvent,38
org/bukkit/event/player/AsyncPlayerChatEvent,72
org/bukkit/event/player/AsyncPlayerPreLoginEvent,103
org/bukkit/event/player/AsyncPlayerPreLoginEvent$Result,78
org/bukkit/event/player/PlayerAchievementAwardedEvent,29
org/bukkit/event/player/PlayerAnimationEvent,29
org/bukkit/event/player/PlayerAnimationType,35
org/bukkit/event/player/PlayerBedEnterEvent,29
org/bukkit/event/player/PlayerBedLeaveEvent,19
org/bukkit/event/player/PlayerBucketEmptyEvent,17
org/bukkit/event/player/PlayerBucketEvent,42
org/bukkit/event/player/PlayerBucketFillEvent,17
org/bukkit/event/player/PlayerChangedWorldEvent,19
org/bukkit/event/player/PlayerChannelEvent,19
org/bukkit/event/player/PlayerChatEvent,99
org/bukkit/event/player/PlayerChatTabCompleteEvent,51
org/bukkit/event/player/PlayerCommandPreprocessEvent,105
org/bukkit/event/player/PlayerDropItemEvent,29
org/bukkit/event/player/PlayerEditBookEvent,87
org/bukkit/event/player/PlayerEggThrowEvent,75
org/bukkit/event/player/PlayerEvent,16
org/bukkit/event/player/PlayerExpChangeEvent,23
org/bukkit/event/player/PlayerFishEvent,55
org/bukkit/event/player/PlayerFishEvent$State,75
org/bukkit/event/player/PlayerGameModeChangeEvent,26
org/bukkit/event/player/PlayerInteractEntityEvent,29
org/bukkit/event/player/PlayerInteractEvent,131
org/bukkit/event/player/PlayerInventoryEvent,19
org/bukkit/event/player/PlayerItemBreakEvent,19
org/bukkit/event/player/PlayerItemConsumeEvent,43
org/bukkit/event/player/PlayerItemHeldEvent,35
org/bukkit/event/player/PlayerJoinEvent,23
org/bukkit/event/player/PlayerKickEvent,46
org/bukkit/event/player/PlayerLevelChangeEvent,25
org/bukkit/event/player/PlayerLoginEvent,91
org/bukkit/event/player/PlayerLoginEvent$Result,75
org/bukkit/event/player/PlayerMoveEvent,43
org/bukkit/event/player/PlayerPickupItemEvent,35
org/bukkit/event/player/PlayerPortalEvent,55
org/bukkit/event/player/PlayerPreLoginEvent,70
org/bukkit/event/player/PlayerPreLoginEvent$Result,75
org/bukkit/event/player/PlayerQuitEvent,23
org/bukkit/event/player/PlayerRegisterChannelEvent,5
org/bukkit/event/player/PlayerRespawnEvent,36
org/bukkit/event/player/PlayerShearEntityEvent,29
org/bukkit/event/player/PlayerStatisticIncrementEvent,97
org/bukkit/event/player/PlayerTeleportEvent,30
org/bukkit/event/player/PlayerTeleportEvent$TeleportCause,85
org/bukkit/event/player/PlayerToggleFlightEvent,29
org/bukkit/event/player/PlayerToggleSneakEvent,29
org/bukkit/event/player/PlayerToggleSprintEvent,29
org/bukkit/event/player/PlayerUnleashEntityEvent,21
org/bukkit/event/player/PlayerUnregisterChannelEvent,5
org/bukkit/event/player/PlayerVelocityEvent,33
org/bukkit/event/server/MapInitializeEvent,18
org/bukkit/event/server/PluginDisableEvent,13
org/bukkit/event/server/PluginEnableEvent,13
org/bukkit/event/server/PluginEvent,9
org/bukkit/event/server/RemoteServerCommandEvent,14
org/bukkit/event/server/ServerCommandEvent,28
org/bukkit/event/server/ServerEvent,3
org/bukkit/event/server/ServerListPingEvent,95
org/bukkit/event/server/ServiceEvent,9
org/bukkit/event/server/ServiceRegisterEvent,13
org/bukkit/event/server/ServiceUnregisterEvent,13
org/bukkit/event/vehicle/VehicleBlockCollisionEvent,19
org/bukkit/event/vehicle/VehicleCollisionEvent,4
org/bukkit/event/vehicle/VehicleCreateEvent,13
org/bukkit/event/vehicle/VehicleDamageEvent,52
org/bukkit/event/vehicle/VehicleDestroyEvent,26
org/bukkit/event/vehicle/VehicleEnterEvent,26
org/bukkit/event/vehicle/VehicleEntityCollisionEvent,49
org/bukkit/event/vehicle/VehicleEvent,9
org/bukkit/event/vehicle/VehicleExitEvent,26
org/bukkit/event/vehicle/VehicleMoveEvent,25
org/bukkit/event/vehicle/VehicleUpdateEvent,13
org/bukkit/event/weather/LightningStrikeEvent,26
org/bukkit/event/weather/ThunderChangeEvent,26
org/bukkit/event/weather/WeatherChangeEvent,26
org/bukkit/event/weather/WeatherEvent,9
org/bukkit/event/world/ChunkEvent,11
org/bukkit/event/world/ChunkLoadEvent,19
org/bukkit/event/world/ChunkPopulateEvent,13
org/bukkit/event/world/ChunkUnloadEvent,23
org/bukkit/event/world/PortalCreateEvent,45
org/bukkit/event/world/PortalCreateEvent$CreateReason,45
org/bukkit/event/world/SpawnChangeEvent,19
org/bukkit/event/world/StructureGrowEvent,54
org/bukkit/event/world/WorldEvent,9
org/bukkit/event/world/WorldInitEvent,13
org/bukkit/event/world/WorldLoadEvent,13
org/bukkit/event/world/WorldSaveEvent,13
org/bukkit/event/world/WorldUnloadEvent,20
org/bukkit/FireworkEffect$Builder,259
org/bukkit/FireworkEffect,236
org/bukkit/FireworkEffect$Type,75
org/bukkit/GameMode,92
org/bukkit/generator/BlockPopulator,3
org/bukkit/generator/ChunkGenerator$BiomeGrid,0
org/bukkit/generator/ChunkGenerator,100
org/bukkit/GrassSpecies,92
org/bukkit/help/GenericCommandHelpTopic,162
org/bukkit/help/HelpMap,0
org/bukkit/help/HelpTopic,40
org/bukkit/help/HelpTopicComparator,28
org/bukkit/help/HelpTopicComparator$TopicNameComparator,34
org/bukkit/help/HelpTopicFactory,0
org/bukkit/help/IndexHelpTopic,159
org/bukkit/Instrument,114
org/bukkit/inventory/AnvilInventory,0
org/bukkit/inventory/BeaconInventory,0
org/bukkit/inventory/BrewerInventory,0
org/bukkit/inventory/CraftingInventory,0
org/bukkit/inventory/DoubleChestInventory,0
org/bukkit/inventory/EnchantingInventory,0
org/bukkit/inventory/EntityEquipment,0
org/bukkit/inventory/FurnaceInventory,0
org/bukkit/inventory/FurnaceRecipe,63
org/bukkit/inventory/HorseInventory,0
org/bukkit/inventory/Inventory,0
org/bukkit/inventory/InventoryHolder,0
org/bukkit/inventory/InventoryView,136
org/bukkit/inventory/InventoryView$Property,115
org/bukkit/inventory/ItemFactory,0
org/bukkit/inventory/ItemStack,786
org/bukkit/inventory/MerchantInventory,0
org/bukkit/inventory/meta/BookMeta,0
org/bukkit/inventory/meta/EnchantmentStorageMeta,0
org/bukkit/inventory/meta/FireworkEffectMeta,0
org/bukkit/inventory/meta/FireworkMeta,0
org/bukkit/inventory/meta/ItemMeta,0
org/bukkit/inventory/meta/LeatherArmorMeta,0
org/bukkit/inventory/meta/MapMeta,0
org/bukkit/inventory/meta/PotionMeta,0
org/bukkit/inventory/meta/Repairable,0
org/bukkit/inventory/meta/SkullMeta,0
org/bukkit/inventory/PlayerInventory,0
org/bukkit/inventory/Recipe,0
org/bukkit/inventory/ShapedRecipe,230
org/bukkit/inventory/ShapelessRecipe,168
org/bukkit/Location,702
org/bukkit/map/MapCanvas,0
org/bukkit/map/MapCursor,82
org/bukkit/map/MapCursorCollection,59
org/bukkit/map/MapCursor$Type,110
org/bukkit/map/MapFont$CharacterSprite,53
org/bukkit/map/MapFont,123
org/bukkit/map/MapPalette,1196
org/bukkit/map/MapRenderer,14
org/bukkit/map/MapView,0
org/bukkit/map/MapView$Scale,102
org/bukkit/map/MinecraftFont,7441
org/bukkit/material/Attachable,0
org/bukkit/material/Bed,283
org/bukkit/material/Button,289
org/bukkit/material/Cake,80
org/bukkit/material/Cauldron,66
org/bukkit/material/Chest,41
org/bukkit/Material,7086
org/bukkit/material/Coal,60
org/bukkit/material/CocoaPlant,337
org/bukkit/material/CocoaPlant$CocoaPlantSize,55
org/bukkit/material/Colorable,0
org/bukkit/material/Command,75
org/bukkit/material/Crops,60
org/bukkit/material/DetectorRail,63
org/bukkit/material/Diode,282
org/bukkit/material/Directional,0
org/bukkit/material/DirectionalContainer,228
org/bukkit/material/Dispenser,247
org/bukkit/material/Door,328
org/bukkit/material/Dye,56
org/bukkit/material/EnderChest,41
org/bukkit/material/ExtendedRails,85
org/bukkit/material/FlowerPot,207
org/bukkit/material/FurnaceAndDispenser,31
org/bukkit/material/Furnace,44
org/bukkit/material/Gate,277
org/bukkit/material/Ladder,226
org/bukkit/material/Leaves,63
org/bukkit/material/Lever,353
org/bukkit/material/LongGrass,60
org/bukkit/material/MaterialData,120
org/bukkit/material/MonsterEggs,67
org/bukkit/material/Mushroom,429
org/bukkit/material/NetherWarts,132
org/bukkit/material/Openable,0
org/bukkit/material/PistonBaseMaterial,284
org/bukkit/material/PistonExtensionMaterial,280
org/bukkit/material/PoweredRail,63
org/bukkit/material/PressurePlate,55
org/bukkit/material/PressureSensor,0
org/bukkit/material/Pumpkin,257
org/bukkit/material/Rails,346
org/bukkit/material/Redstone,0
org/bukkit/material/RedstoneTorch,65
org/bukkit/material/RedstoneWire,58
org/bukkit/material/Sandstone,60
org/bukkit/material/Sign,383
org/bukkit/material/SimpleAttachableMaterialData,65
org/bukkit/material/Skull,246
org/bukkit/material/SmoothBrick,71
org/bukkit/material/SpawnEgg,51
org/bukkit/material/Stairs,275
org/bukkit/material/Step,142
org/bukkit/material/TexturedMaterial,83
org/bukkit/material/Torch,229
org/bukkit/material/TrapDoor,320
org/bukkit/material/Tree,283
org/bukkit/material/Tripwire,95
org/bukkit/material/TripwireHook,311
org/bukkit/material/Vine,534
org/bukkit/material/WoodenStep,106
org/bukkit/material/Wool,60
org/bukkit/metadata/FixedMetadataValue,11
org/bukkit/metadata/LazyMetadataValue$CacheStrategy,55
org/bukkit/metadata/LazyMetadataValue,58
org/bukkit/metadata/Metadatable,0
org/bukkit/metadata/MetadataConversionException,4
org/bukkit/metadata/MetadataEvaluationException,4
org/bukkit/metadata/MetadataStoreBase,138
org/bukkit/metadata/MetadataStore,0
org/bukkit/metadata/MetadataValueAdapter,85
org/bukkit/metadata/MetadataValue,0
org/bukkit/NetherWartsState,65
org/bukkit/Note,225
org/bukkit/Note$Tone,206
org/bukkit/OfflinePlayer,0
org/bukkit/permissions/PermissibleBase,503
org/bukkit/permissions/PermissibleBase$RemoveAttachmentRunnable,14
org/bukkit/permissions/Permissible,0
org/bukkit/permissions/PermissionAttachment,100
org/bukkit/permissions/PermissionAttachmentInfo,41
org/bukkit/permissions/Permission,336
org/bukkit/permissions/PermissionDefault,249
org/bukkit/permissions/PermissionRemovedExecutor,0
org/bukkit/permissions/ServerOperator,0
org/bukkit/plugin/AuthorNagException,9
org/bukkit/plugin/EventExecutor,0
org/bukkit/plugin/IllegalPluginAccessException,7
org/bukkit/plugin/InvalidDescriptionException,18
org/bukkit/plugin/InvalidPluginException,16
org/bukkit/plugin/java/JavaPlugin,841
org/bukkit/plugin/java/JavaPluginLoader$1,45
org/bukkit/plugin/java/JavaPluginLoader,857
org/bukkit/plugin/java/PluginClassLoader,204
org/bukkit/plugin/messaging/ChannelNameTooLongException,21
org/bukkit/plugin/messaging/ChannelNotRegisteredException,16
org/bukkit/plugin/messaging/MessageTooLargeException,25
org/bukkit/plugin/messaging/Messenger,0
org/bukkit/plugin/messaging/PluginChannelDirection,45
org/bukkit/plugin/messaging/PluginMessageListener,0
org/bukkit/plugin/messaging/PluginMessageListenerRegistration,192
org/bukkit/plugin/messaging/PluginMessageRecipient,0
org/bukkit/plugin/messaging/ReservedChannelException,16
org/bukkit/plugin/messaging/StandardMessenger,639
org/bukkit/plugin/PluginAwareness,0
org/bukkit/plugin/PluginAwareness$Flags,35
org/bukkit/plugin/PluginBase,32
org/bukkit/plugin/Plugin,0
org/bukkit/plugin/PluginDescriptionFile$1$1$1$1,13
org/bukkit/plugin/PluginDescriptionFile$1$1$1,21
org/bukkit/plugin/PluginDescriptionFile$1$1$2,16
org/bukkit/plugin/PluginDescriptionFile$1$1,51
org/bukkit/plugin/PluginDescriptionFile$1,14
org/bukkit/plugin/PluginDescriptionFile,325
org/bukkit/plugin/PluginLoader,0
org/bukkit/plugin/PluginLoadOrder,45
org/bukkit/plugin/PluginLogger,61
org/bukkit/plugin/PluginManager,0
