"Project","Decompiler","Class","isDecompilable","distanceToOriginal","isRecompilable","passTests"
"Bukkit","CFR-0.141","org/bukkit/material/Chest",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Attachable",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/material/Mushroom",TRUE,186,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Ladder",TRUE,15,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Dispenser",TRUE,23,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/WoodenStep",TRUE,38,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/DetectorRail",TRUE,19,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/CocoaPlant",TRUE,61,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Wool",TRUE,20,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Sandstone",TRUE,18,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Stairs",TRUE,54,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/FlowerPot",TRUE,65,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/PressureSensor",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/material/Bed",TRUE,52,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Cake",TRUE,18,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/SimpleAttachableMaterialData",TRUE,13,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/DirectionalContainer",TRUE,23,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/PressurePlate",TRUE,7,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/PoweredRail",TRUE,19,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Torch",TRUE,20,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Command",TRUE,22,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/PistonBaseMaterial",TRUE,73,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/TripwireHook",TRUE,58,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Crops",TRUE,18,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Skull",TRUE,34,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/SmoothBrick",TRUE,14,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Sign",TRUE,50,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Directional",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/material/RedstoneTorch",TRUE,13,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/MaterialData",TRUE,51,FALSE,FALSE
"Bukkit","CFR-0.141","org/bukkit/material/Furnace",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Leaves",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/material/Door",TRUE,91,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/material/Vine",TRUE,224,FALSE,FALSE
"Bukkit","CFR-0.141","org/bukkit/BlockChangeDelegate",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/FixedSetPrompt",TRUE,7,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationAbandonedEvent",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/StringPrompt",TRUE,1,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/PlayerNamePrompt",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationContext",TRUE,12,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/ExactMatchConversationCanceller",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/MessagePrompt",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/Prompt",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationCanceller",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/NullConversationPrefix",TRUE,1,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/PluginNameConversationPrefix",TRUE,7,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationPrefix",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationAbandonedListener",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/BooleanPrompt",TRUE,8,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/Conversation",TRUE,171,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/NumericPrompt",TRUE,27,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/ConversationFactory",TRUE,80,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/ManuallyAbandonedConversationCanceller",TRUE,3,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/Conversable",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/RegexPrompt",TRUE,4,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/conversations/InactivityConversationCanceller",TRUE,69,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/conversations/ValidatingPrompt",TRUE,27,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/Achievement",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/World",TRUE,22,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/EntityEffect",TRUE,9,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/Effect",TRUE,5,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/Server",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/WorldUnloadEvent",TRUE,3,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/ChunkEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/PortalCreateEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/WorldInitEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/WorldEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/WorldSaveEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/SpawnChangeEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/ChunkPopulateEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/StructureGrowEvent",TRUE,37,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/WorldLoadEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/ChunkUnloadEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/world/ChunkLoadEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/weather/LightningStrikeEvent",TRUE,13,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/weather/WeatherChangeEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/weather/ThunderChangeEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/weather/WeatherEvent",TRUE,7,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleExitEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleBlockCollisionEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleDestroyEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleUpdateEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleDamageEvent",TRUE,26,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleEnterEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleEntityCollisionEvent",TRUE,37,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleMoveEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleCollisionEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/vehicle/VehicleCreateEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/hanging/HangingBreakByEntityEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/hanging/HangingBreakEvent",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/hanging/HangingEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/hanging/HangingPlaceEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/painting/PaintingBreakEvent",TRUE,12,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/painting/PaintingBreakByEntityEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/painting/PaintingEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/painting/PaintingPlaceEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/Cancellable",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/Event",TRUE,16,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/EventPriority",TRUE,3,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/FurnaceSmeltEvent",TRUE,17,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryOpenEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/FurnaceBurnEvent",TRUE,17,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryClickEvent",TRUE,75,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryType",TRUE,13,TRUE,TRUE
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryPickupItemEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryMoveItemEvent",TRUE,27,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryDragEvent",TRUE,23,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/PrepareItemCraftEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/DragType",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/BrewEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/CraftItemEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/ClickType",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/FurnaceExtractEvent",TRUE,9,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryCreativeEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryAction",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryCloseEvent",TRUE,2,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/inventory/InventoryInteractEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/EventHandler",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/RemoteServerCommandEvent",TRUE,2,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServerEvent",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServiceEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/PluginDisableEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServiceRegisterEvent",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/PluginEnableEvent",TRUE,1,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServiceUnregisterEvent",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/MapInitializeEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServerCommandEvent",TRUE,8,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/ServerListPingEvent",TRUE,21,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/server/PluginEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/Listener",TRUE,0,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityPortalExitEvent",TRUE,5,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/CreatureSpawnEvent",TRUE,29,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityTeleportEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ItemDespawnEvent",TRUE,18,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ProjectileHitEvent",TRUE,3,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityCombustByBlockEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityTameEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/SheepRegrowWoolEvent",TRUE,11,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityCreatePortalEvent",TRUE,16,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityTargetEvent",TRUE,15,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/PlayerLeashEntityEvent",TRUE,20,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/ProjectileLaunchEvent",TRUE,10,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/PlayerDeathEvent",TRUE,55,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityRegainHealthEvent",TRUE,29,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityTargetLivingEntityEvent",TRUE,6,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityShootBowEvent",TRUE,23,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/CreeperPowerEvent",TRUE,22,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityBreakDoorEvent",TRUE,4,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityDeathEvent",TRUE,13,TRUE,NA
"Bukkit","CFR-0.141","org/bukkit/event/entity/EntityUnleashEvent",TRUE,4,TRUE,NA
